sample_id,db_id,method,error_category,error_stage,error_type,error_message,detected_mode,detected_format
final_archeology_001,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,free_text,free_text
final_archeology_002,archeology,D-FS-M,E15_execution,execution,execution_error,table projects has no column named name,free_text,free_text
final_archeology_003,archeology,D-FS-M,E15_execution,execution,execution_error,"near ""statements"": syntax error",free_text,free_text
final_archeology_004,archeology,D-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_005,archeology,D-FS-M,E13_dependency_fk,execution,execution_error,FOREIGN KEY constraint failed,semi_structured,multi_json_collection
final_archeology_006,archeology,D-FS-M,correct,correct,,,semi_structured,json_object
final_archeology_007,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_008,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_009,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_010,archeology,D-FS-M,correct,correct,,,semi_structured,key_value
final_archeology_011,archeology,D-FS-M,E15_execution,execution,execution_error,6 values for 5 columns,semi_structured,multi_table
final_archeology_012,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,semi_structured,multi_table
final_archeology_013,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_014,archeology,D-FS-M,E15_execution,execution,execution_error,UNIQUE constraint failed: projects.arcregistry,semi_structured,csv
final_archeology_015,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_016,archeology,D-FS-M,E15_execution,execution,execution_error,table projects has no column named project_id,free_text,free_text
final_archeology_017,archeology,D-FS-M,E15_execution,execution,execution_error,table projects has no column named project_id,free_text,free_text
final_archeology_018,archeology,D-FS-M,correct,correct,,,free_text,free_text
final_archeology_019,archeology,D-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_020,archeology,D-FS-M,correct,correct,,,semi_structured,json_object
final_archeology_021,archeology,D-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_022,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_023,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_024,archeology,D-FS-M,E15_execution,execution,execution_error,no such table: conservation,semi_structured,markdown_table
final_archeology_025,archeology,D-FS-M,correct,correct,,,semi_structured,key_value
final_archeology_026,archeology,D-FS-M,correct,correct,,,semi_structured,key_value
final_archeology_027,archeology,D-FS-M,E16_state_mismatch,state,wrong_state,,semi_structured,multi_table
final_archeology_028,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_029,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_030,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_031,archeology,D-FS-M,E15_execution,execution,execution_error,"unrecognized token: ""{""",free_text,free_text
final_archeology_032,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,free_text,free_text
final_archeology_033,archeology,D-FS-M,E15_execution,execution,execution_error,"near ""UPDATE"": syntax error",free_text,free_text
final_archeology_034,archeology,D-FS-M,E15_execution,execution,execution_error,"near ""DELETE"": syntax error",semi_structured,json_object
final_archeology_035,archeology,D-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_036,archeology,D-FS-M,E16_state_mismatch,state,wrong_state,,semi_structured,multi_json_collection
final_archeology_037,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_038,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,semi_structured,markdown_table
final_archeology_039,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_040,archeology,D-FS-M,correct,correct,,,semi_structured,key_value
final_archeology_041,archeology,D-FS-M,E15_execution,execution,execution_error,incomplete input,semi_structured,key_value
final_archeology_042,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,semi_structured,multi_table
final_archeology_043,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_044,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,semi_structured,csv
final_archeology_045,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,semi_structured,csv
final_archeology_046,archeology,D-FS-M,correct,correct,,,free_text,free_text
final_archeology_047,archeology,D-FS-M,E15_execution,execution,execution_error,table scanconservation has no column named intervention_history,free_text,free_text
final_archeology_048,archeology,D-FS-M,E15_execution,execution,execution_error,"near ""statements"": syntax error",free_text,free_text
final_archeology_049,archeology,D-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_050,archeology,D-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_051,archeology,D-FS-M,correct,correct,,,semi_structured,json_array
final_archeology_052,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_053,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_054,archeology,D-FS-M,correct,correct,,,semi_structured,markdown_table
final_archeology_055,archeology,D-FS-M,correct,correct,,,semi_structured,multi_table
final_archeology_056,archeology,D-FS-M,correct,correct,,,semi_structured,multi_table
final_archeology_057,archeology,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,semi_structured,multi_table
final_archeology_058,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_059,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_archeology_060,archeology,D-FS-M,correct,correct,,,semi_structured,csv
final_polar_001,polar,D-FS-M,correct,correct,,,free_text,free_text
final_polar_002,polar,D-FS-M,E15_execution,execution,unsafe_sql,Only INSERT/REPLACE statements are allowed.,free_text,free_text
