sample_id,db_id,method,error_category,error_stage,error_type,error_message,detected_mode,detected_format
final_archeology_001,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_002,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,free_text,free_text
final_archeology_003,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,free_text,free_text
final_archeology_004,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,multi_json_collection
final_archeology_005,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,multi_json_collection
final_archeology_006,archeology,J-FS-M,correct,correct,,,semi_structured,json_object
final_archeology_007,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,markdown_table
final_archeology_008,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,semi_structured,markdown_table
final_archeology_009,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,semi_structured,markdown_table
final_archeology_010,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_archeology_011,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,multi_table
final_archeology_012,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,multi_table
final_archeology_013,archeology,J-FS-M,E16_state_mismatch,state,wrong_state,,semi_structured,csv
final_archeology_014,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,csv
final_archeology_015,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,csv
final_archeology_016,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,free_text,free_text
final_archeology_017,archeology,J-FS-M,E3_unknown_column,interpretation,UNKNOWN_COLUMN,projects: unknown column 'project_id'.,free_text,free_text
final_archeology_018,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_019,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,multi_json_collection
final_archeology_020,archeology,J-FS-M,correct,correct,,,semi_structured,json_object
final_archeology_021,archeology,J-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_022,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,markdown_table
final_archeology_023,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,markdown_table
final_archeology_024,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,semi_structured,markdown_table
final_archeology_025,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,key_value
final_archeology_026,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,key_value
final_archeology_027,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,multi_table
final_archeology_028,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,csv
final_archeology_029,archeology,J-FS-M,E3_unknown_column,interpretation,UNKNOWN_COLUMN,projects: unknown column 'conflict_action'.,semi_structured,csv
final_archeology_030,archeology,J-FS-M,E1_invalid_output,parsing,parse_error,,semi_structured,csv
final_archeology_031,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,free_text,free_text
final_archeology_032,archeology,J-FS-M,correct,correct,,,free_text,free_text
final_archeology_033,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,free_text,free_text
final_archeology_034,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,json_object
final_archeology_035,archeology,J-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_036,archeology,J-FS-M,correct,correct,,,semi_structured,multi_json_collection
final_archeology_037,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,markdown_table
final_archeology_038,archeology,J-FS-M,other,other,MISSING_WRITE_GROUPS,Write Plan must contain a non-empty write_groups list.,semi_structured,markdown_table
