sample_id,db_id,method,error_category,error_stage,error_type,error_message,detected_mode,detected_format
final_archeology_001,archeology,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,equipment: missing required columns: equipregistry.,free_text,free_text
final_archeology_002,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_003,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_004,archeology,MP-FS+,correct,correct,,,semi_structured,multi_json_collection
final_archeology_005,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_006,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_object
final_archeology_007,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_008,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_009,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_010,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_archeology_011,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_archeology_012,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_archeology_013,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_014,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_015,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_016,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_017,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_018,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_019,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_020,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_object
final_archeology_021,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_022,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_023,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_024,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_025,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_archeology_026,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_archeology_027,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_archeology_028,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_029,archeology,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,equipment: missing required columns: equipregistry.,semi_structured,csv
final_archeology_030,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_031,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_032,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_033,archeology,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,equipment: missing required columns: equipregistry.,free_text,free_text
final_archeology_034,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_object
final_archeology_035,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_036,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_037,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_038,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_039,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_040,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_archeology_041,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,key_value
final_archeology_042,archeology,MP-FS+,E5_wrong_mapping,source_grounding,UNRESOLVED_SOURCE_FIELD,Source field 'operation' is neither mapped nor justified.,semi_structured,multi_table
final_archeology_043,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_044,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_045,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_046,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_047,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_archeology_048,archeology,MP-FS+,E4_missing_column,compilation,MISSING_REQUIRED_COLUMN,equipment: missing required columns: equipregistry.,free_text,free_text
final_archeology_049,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_050,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
final_archeology_051,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,json_array
final_archeology_052,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_053,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_054,archeology,MP-FS+,correct,correct,,,semi_structured,markdown_table
final_archeology_055,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_archeology_056,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_archeology_057,archeology,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_table
final_archeology_058,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_059,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_archeology_060,archeology,MP-FS+,correct,correct,,,semi_structured,csv
final_polar_001,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_002,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_003,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,free_text,free_text
final_polar_004,polar,MP-FS+,E1_invalid_output,parsing,parse_error,,semi_structured,multi_json_collection
