method_id,input_format,target_state_accuracy,samples,mean_input_tokens,median_input_tokens,mean_output_tokens,median_output_tokens,mean_generation_latency_sec,median_generation_latency_sec,mean_preflight_latency_sec,output_limit_hit_rate,deterministic_processing_latency_sec,end_to_end_latency_sec,latency_scope_note
D-FS-M,csv_or_mixed,0.95,60,8619.083333333334,8344.0,340.3666666666667,254.5,5.030722106217581,4.100936852497398,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
D-FS-M,free_text,0.5666666666666667,60,8223.966666666667,7935.0,352.3666666666667,289.0,5.05862213481693,4.447050464506901,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
D-FS-M,json,0.8833333333333333,60,8969.25,9075.5,392.0833333333333,296.5,5.665333900749586,4.519912771997042,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
D-FS-M,key_value,0.95,60,8704.55,8411.0,311.7,247.5,4.7162562713155545,4.1238838544959435,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
D-FS-M,markdown,0.95,60,8634.483333333334,8278.5,278.0833333333333,231.0,4.290537771366265,3.6491685244909604,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
J-FS-M,csv_or_mixed,0.9,60,8622.066666666668,8347.0,428.3333333333333,327.0,6.0248033190847,4.769390952496906,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
J-FS-M,free_text,0.6333333333333333,60,8223.966666666667,7935.0,396.73333333333335,293.5,5.540230610816312,4.286643837505835,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
J-FS-M,json,0.9333333333333333,60,8971.25,9077.5,491.45,402.5,6.807164973450077,5.779276594999828,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
J-FS-M,key_value,0.95,60,8707.366666666667,8414.0,408.71666666666664,334.5,5.810801580683134,4.901179845503066,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
J-FS-M,markdown,0.8833333333333333,60,8636.483333333334,8280.5,420.43333333333334,269.5,5.911233074733173,4.019555263999791,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
S-FS-v2-M,csv_or_mixed,0.3,60,8622.066666666668,8347.0,428.3333333333333,327.0,6.049258102216117,4.766040058500948,,0.0,,,latency_sec is model generation latency; deterministic parser/compiler/database time was not instrumented end to end
