method_id,error_category,error_stage,count,proportion
D-FS-M,E13_dependency_fk,execution,2,0.006666666666666667
D-FS-M,E15_execution,execution,30,0.1
D-FS-M,E16_state_mismatch,state,8,0.02666666666666667
D-FS-M,E17_state_mismatch_with_off_target_change,state,1,0.0033333333333333335
D-FS-M,E1_invalid_output,parsing,1,0.0033333333333333335
D-FS-M,correct,correct,258,0.86
J-FS-M,E15_execution,execution,2,0.006666666666666667
J-FS-M,E16_state_mismatch,state,6,0.02
J-FS-M,E3_unknown_column,interpretation,10,0.03333333333333333
J-FS-M,E4_missing_column,compilation,23,0.07666666666666666
J-FS-M,E6_missing_row,source_grounding,1,0.0033333333333333335
J-FS-M,correct,correct,258,0.86
S-FS-v2-M,E14_compiler,compilation,34,0.11333333333333333
S-FS-v2-M,E15_execution,execution,159,0.53
S-FS-v2-M,E16_state_mismatch,state,29,0.09666666666666666
S-FS-v2-M,correct,correct,78,0.26
MP-FS-M,E15_execution,execution,22,0.07333333333333333
MP-FS-M,E16_state_mismatch,state,4,0.013333333333333334
MP-FS-M,E17_state_mismatch_with_off_target_change,state,1,0.0033333333333333335
MP-FS-M,E1_invalid_output,parsing,33,0.11
MP-FS-M,E3_unknown_column,interpretation,12,0.04
MP-FS-M,E4_missing_column,compilation,3,0.01
MP-FS-M,E5_wrong_mapping,source_grounding,177,0.59
MP-FS-M,E6_missing_row,source_grounding,2,0.006666666666666667
MP-FS-M,E8_wrong_or_hallucinated_value,source_grounding,6,0.02
MP-FS-M,E9_type_or_shape,compilation,6,0.02
MP-FS-M,correct,correct,34,0.11333333333333333
MP-FS+,E10_conflict_semantics,interpretation,20,0.06666666666666667
MP-FS+,E11_conflict_target_or_mask,interpretation,4,0.013333333333333334
MP-FS+,E13_dependency_fk,execution,1,0.0033333333333333335
MP-FS+,E15_preflight_abstention,execution,6,0.02
MP-FS+,E16_state_mismatch,state,16,0.05333333333333334
MP-FS+,E1_invalid_output,parsing,6,0.02
MP-FS+,E3_unknown_column,interpretation,28,0.09333333333333334
MP-FS+,E4_missing_column,compilation,21,0.07
MP-FS+,E5_wrong_mapping,source_grounding,33,0.11
MP-FS+,E7_duplicate,compilation,4,0.013333333333333334
MP-FS+,E8_wrong_or_hallucinated_value,source_grounding,13,0.043333333333333335
MP-FS+,correct,correct,148,0.49333333333333335
Gold-MP,correct,correct,300,1.0
