method_id,complexity,complexity_samples,error_category,error_stage,count,proportion_within_complexity
D-FS-M,multi_table,80,E13_dependency_fk,execution,2,0.025
D-FS-M,multi_table,80,E15_execution,execution,21,0.2625
D-FS-M,multi_table,80,E16_state_mismatch,state,2,0.025
D-FS-M,multi_table,80,E17_state_mismatch_with_off_target_change,state,1,0.0125
D-FS-M,multi_table,80,E1_invalid_output,parsing,1,0.0125
D-FS-M,multi_table,80,correct,correct,53,0.6625
D-FS-M,single_table,220,E15_execution,execution,9,0.04090909090909091
D-FS-M,single_table,220,E16_state_mismatch,state,6,0.02727272727272727
D-FS-M,single_table,220,correct,correct,205,0.9318181818181818
J-FS-M,multi_table,80,E15_execution,execution,1,0.0125
J-FS-M,multi_table,80,E16_state_mismatch,state,4,0.05
J-FS-M,multi_table,80,E3_unknown_column,interpretation,9,0.1125
J-FS-M,multi_table,80,E4_missing_column,compilation,7,0.0875
J-FS-M,multi_table,80,E6_missing_row,source_grounding,1,0.0125
J-FS-M,multi_table,80,correct,correct,58,0.725
J-FS-M,single_table,220,E15_execution,execution,1,0.004545454545454545
J-FS-M,single_table,220,E16_state_mismatch,state,2,0.00909090909090909
J-FS-M,single_table,220,E3_unknown_column,interpretation,1,0.004545454545454545
J-FS-M,single_table,220,E4_missing_column,compilation,16,0.07272727272727272
J-FS-M,single_table,220,correct,correct,200,0.9090909090909091
S-FS-v2-M,multi_table,80,E14_compiler,compilation,17,0.2125
S-FS-v2-M,multi_table,80,E15_execution,execution,40,0.5
S-FS-v2-M,multi_table,80,E16_state_mismatch,state,4,0.05
S-FS-v2-M,multi_table,80,correct,correct,19,0.2375
S-FS-v2-M,single_table,220,E14_compiler,compilation,17,0.07727272727272727
S-FS-v2-M,single_table,220,E15_execution,execution,119,0.5409090909090909
S-FS-v2-M,single_table,220,E16_state_mismatch,state,25,0.11363636363636363
S-FS-v2-M,single_table,220,correct,correct,59,0.2681818181818182
MP-FS-M,multi_table,80,E15_execution,execution,9,0.1125
MP-FS-M,multi_table,80,E16_state_mismatch,state,1,0.0125
MP-FS-M,multi_table,80,E1_invalid_output,parsing,17,0.2125
MP-FS-M,multi_table,80,E3_unknown_column,interpretation,9,0.1125
MP-FS-M,multi_table,80,E5_wrong_mapping,source_grounding,23,0.2875
MP-FS-M,multi_table,80,E8_wrong_or_hallucinated_value,source_grounding,6,0.075
MP-FS-M,multi_table,80,E9_type_or_shape,compilation,4,0.05
MP-FS-M,multi_table,80,correct,correct,11,0.1375
MP-FS-M,single_table,220,E15_execution,execution,13,0.05909090909090909
MP-FS-M,single_table,220,E16_state_mismatch,state,3,0.013636363636363636
MP-FS-M,single_table,220,E17_state_mismatch_with_off_target_change,state,1,0.004545454545454545
MP-FS-M,single_table,220,E1_invalid_output,parsing,16,0.07272727272727272
MP-FS-M,single_table,220,E3_unknown_column,interpretation,3,0.013636363636363636
MP-FS-M,single_table,220,E4_missing_column,compilation,3,0.013636363636363636
MP-FS-M,single_table,220,E5_wrong_mapping,source_grounding,154,0.7
MP-FS-M,single_table,220,E6_missing_row,source_grounding,2,0.00909090909090909
MP-FS-M,single_table,220,E9_type_or_shape,compilation,2,0.00909090909090909
MP-FS-M,single_table,220,correct,correct,23,0.10454545454545454
MP-FS+,multi_table,80,E10_conflict_semantics,interpretation,10,0.125
MP-FS+,multi_table,80,E11_conflict_target_or_mask,interpretation,2,0.025
MP-FS+,multi_table,80,E13_dependency_fk,execution,1,0.0125
MP-FS+,multi_table,80,E15_preflight_abstention,execution,2,0.025
MP-FS+,multi_table,80,E16_state_mismatch,state,2,0.025
MP-FS+,multi_table,80,E1_invalid_output,parsing,5,0.0625
MP-FS+,multi_table,80,E3_unknown_column,interpretation,20,0.25
MP-FS+,multi_table,80,E4_missing_column,compilation,12,0.15
MP-FS+,multi_table,80,E5_wrong_mapping,source_grounding,1,0.0125
MP-FS+,multi_table,80,E7_duplicate,compilation,2,0.025
MP-FS+,multi_table,80,E8_wrong_or_hallucinated_value,source_grounding,11,0.1375
MP-FS+,multi_table,80,correct,correct,12,0.15
MP-FS+,single_table,220,E10_conflict_semantics,interpretation,10,0.045454545454545456
MP-FS+,single_table,220,E11_conflict_target_or_mask,interpretation,2,0.00909090909090909
MP-FS+,single_table,220,E15_preflight_abstention,execution,4,0.01818181818181818
MP-FS+,single_table,220,E16_state_mismatch,state,14,0.06363636363636363
MP-FS+,single_table,220,E1_invalid_output,parsing,1,0.004545454545454545
MP-FS+,single_table,220,E3_unknown_column,interpretation,8,0.03636363636363636
MP-FS+,single_table,220,E4_missing_column,compilation,9,0.04090909090909091
MP-FS+,single_table,220,E5_wrong_mapping,source_grounding,32,0.14545454545454545
MP-FS+,single_table,220,E7_duplicate,compilation,2,0.00909090909090909
MP-FS+,single_table,220,E8_wrong_or_hallucinated_value,source_grounding,2,0.00909090909090909
MP-FS+,single_table,220,correct,correct,136,0.6181818181818182
Gold-MP,multi_table,80,correct,correct,80,1.0
Gold-MP,single_table,220,correct,correct,220,1.0
