method_id,input_format,format_samples,error_category,error_stage,count,proportion_within_format
D-FS-M,csv_or_mixed,60,E15_execution,execution,2,0.03333333333333333
D-FS-M,csv_or_mixed,60,E16_state_mismatch,state,1,0.016666666666666666
D-FS-M,csv_or_mixed,60,correct,correct,57,0.95
D-FS-M,free_text,60,E13_dependency_fk,execution,2,0.03333333333333333
D-FS-M,free_text,60,E15_execution,execution,17,0.2833333333333333
D-FS-M,free_text,60,E16_state_mismatch,state,5,0.08333333333333333
D-FS-M,free_text,60,E17_state_mismatch_with_off_target_change,state,1,0.016666666666666666
D-FS-M,free_text,60,E1_invalid_output,parsing,1,0.016666666666666666
D-FS-M,free_text,60,correct,correct,34,0.5666666666666667
D-FS-M,json,60,E15_execution,execution,7,0.11666666666666667
D-FS-M,json,60,correct,correct,53,0.8833333333333333
D-FS-M,key_value,60,E15_execution,execution,2,0.03333333333333333
D-FS-M,key_value,60,E16_state_mismatch,state,1,0.016666666666666666
D-FS-M,key_value,60,correct,correct,57,0.95
D-FS-M,markdown,60,E15_execution,execution,2,0.03333333333333333
D-FS-M,markdown,60,E16_state_mismatch,state,1,0.016666666666666666
D-FS-M,markdown,60,correct,correct,57,0.95
J-FS-M,csv_or_mixed,60,E4_missing_column,compilation,6,0.1
J-FS-M,csv_or_mixed,60,correct,correct,54,0.9
J-FS-M,free_text,60,E16_state_mismatch,state,5,0.08333333333333333
J-FS-M,free_text,60,E3_unknown_column,interpretation,10,0.16666666666666666
J-FS-M,free_text,60,E4_missing_column,compilation,7,0.11666666666666667
J-FS-M,free_text,60,correct,correct,38,0.6333333333333333
J-FS-M,json,60,E15_execution,execution,1,0.016666666666666666
J-FS-M,json,60,E4_missing_column,compilation,2,0.03333333333333333
J-FS-M,json,60,E6_missing_row,source_grounding,1,0.016666666666666666
J-FS-M,json,60,correct,correct,56,0.9333333333333333
J-FS-M,key_value,60,E4_missing_column,compilation,3,0.05
J-FS-M,key_value,60,correct,correct,57,0.95
J-FS-M,markdown,60,E15_execution,execution,1,0.016666666666666666
J-FS-M,markdown,60,E16_state_mismatch,state,1,0.016666666666666666
J-FS-M,markdown,60,E4_missing_column,compilation,5,0.08333333333333333
J-FS-M,markdown,60,correct,correct,53,0.8833333333333333
S-FS-v2-M,csv_or_mixed,60,E14_compiler,compilation,6,0.1
S-FS-v2-M,csv_or_mixed,60,E15_execution,execution,29,0.48333333333333334
S-FS-v2-M,csv_or_mixed,60,E16_state_mismatch,state,7,0.11666666666666667
S-FS-v2-M,csv_or_mixed,60,correct,correct,18,0.3
S-FS-v2-M,free_text,60,E14_compiler,compilation,17,0.2833333333333333
S-FS-v2-M,free_text,60,E15_execution,execution,26,0.43333333333333335
S-FS-v2-M,free_text,60,E16_state_mismatch,state,6,0.1
S-FS-v2-M,free_text,60,correct,correct,11,0.18333333333333332
S-FS-v2-M,json,60,E14_compiler,compilation,3,0.05
S-FS-v2-M,json,60,E15_execution,execution,37,0.6166666666666667
S-FS-v2-M,json,60,E16_state_mismatch,state,1,0.016666666666666666
S-FS-v2-M,json,60,correct,correct,19,0.31666666666666665
S-FS-v2-M,key_value,60,E14_compiler,compilation,3,0.05
S-FS-v2-M,key_value,60,E15_execution,execution,34,0.5666666666666667
