comparison,direction,excluded_database,samples,left_accuracy,right_accuracy,absolute_difference
MP-FS+ vs D-FS-M,MP-FS+_minus_D-FS-M,none_all_databases,300,0.86,0.49333333333333335,-0.36666666666666664
MP-FS+ vs D-FS-M,MP-FS+_minus_D-FS-M,archeology,240,0.8583333333333333,0.49166666666666664,-0.36666666666666664
MP-FS+ vs D-FS-M,MP-FS+_minus_D-FS-M,polar,240,0.8625,0.4625,-0.4
MP-FS+ vs D-FS-M,MP-FS+_minus_D-FS-M,robot,240,0.8541666666666666,0.5041666666666667,-0.35
MP-FS+ vs D-FS-M,MP-FS+_minus_D-FS-M,vaccine,240,0.8666666666666667,0.5125,-0.35416666666666674
MP-FS+ vs D-FS-M,MP-FS+_minus_D-FS-M,virtual,240,0.8583333333333333,0.49583333333333335,-0.36249999999999993
MP-FS+ vs J-FS-M,MP-FS+_minus_J-FS-M,none_all_databases,300,0.86,0.49333333333333335,-0.36666666666666664
MP-FS+ vs J-FS-M,MP-FS+_minus_J-FS-M,archeology,240,0.8541666666666666,0.49166666666666664,-0.3625
MP-FS+ vs J-FS-M,MP-FS+_minus_J-FS-M,polar,240,0.8833333333333333,0.4625,-0.4208333333333333
MP-FS+ vs J-FS-M,MP-FS+_minus_J-FS-M,robot,240,0.8291666666666667,0.5041666666666667,-0.32500000000000007
MP-FS+ vs J-FS-M,MP-FS+_minus_J-FS-M,vaccine,240,0.8875,0.5125,-0.375
MP-FS+ vs J-FS-M,MP-FS+_minus_J-FS-M,virtual,240,0.8458333333333333,0.49583333333333335,-0.35
MP-FS+ vs MP-FS-M,MP-FS+_minus_MP-FS-M,none_all_databases,300,0.11333333333333333,0.49333333333333335,0.38
MP-FS+ vs MP-FS-M,MP-FS+_minus_MP-FS-M,archeology,240,0.11666666666666667,0.49166666666666664,0.375
MP-FS+ vs MP-FS-M,MP-FS+_minus_MP-FS-M,polar,240,0.07916666666666666,0.4625,0.38333333333333336
MP-FS+ vs MP-FS-M,MP-FS+_minus_MP-FS-M,robot,240,0.12916666666666668,0.5041666666666667,0.375
MP-FS+ vs MP-FS-M,MP-FS+_minus_MP-FS-M,vaccine,240,0.125,0.5125,0.38749999999999996
MP-FS+ vs MP-FS-M,MP-FS+_minus_MP-FS-M,virtual,240,0.11666666666666667,0.49583333333333335,0.37916666666666665
J-FS-M vs D-FS-M,J-FS-M_minus_D-FS-M,none_all_databases,300,0.86,0.86,0.0
J-FS-M vs D-FS-M,J-FS-M_minus_D-FS-M,archeology,240,0.8583333333333333,0.8541666666666666,-0.004166666666666652
J-FS-M vs D-FS-M,J-FS-M_minus_D-FS-M,polar,240,0.8625,0.8833333333333333,0.02083333333333326
J-FS-M vs D-FS-M,J-FS-M_minus_D-FS-M,robot,240,0.8541666666666666,0.8291666666666667,-0.02499999999999991
J-FS-M vs D-FS-M,J-FS-M_minus_D-FS-M,vaccine,240,0.8666666666666667,0.8875,0.02083333333333326
J-FS-M vs D-FS-M,J-FS-M_minus_D-FS-M,virtual,240,0.8583333333333333,0.8458333333333333,-0.012499999999999956
