method_id,dimension,value,samples,parse_coverage,validation_coverage,build_coverage,execution_coverage,target_state_accuracy,admission_boundary,method_specific_admission_coverage,method_specific_admitted_output_accuracy
D-FS-M,input_format,csv_or_mixed,60,1.0,,1.0,0.9666666666666667,0.95,successful_build,1.0,0.95
D-FS-M,input_format,free_text,60,0.9833333333333333,,0.9833333333333333,0.6666666666666666,0.5666666666666667,successful_build,0.9833333333333333,0.576271186440678
D-FS-M,input_format,json,60,1.0,,1.0,0.8833333333333333,0.8833333333333333,successful_build,1.0,0.8833333333333333
D-FS-M,input_format,key_value,60,1.0,,1.0,0.9666666666666667,0.95,successful_build,1.0,0.95
D-FS-M,input_format,markdown,60,1.0,,1.0,0.9666666666666667,0.95,successful_build,1.0,0.95
D-FS-M,complexity,multi_table,80,0.9875,,0.9875,0.7,0.6625,successful_build,0.9875,0.6708860759493671
D-FS-M,complexity,single_table,220,1.0,,1.0,0.9590909090909091,0.9318181818181818,successful_build,1.0,0.9318181818181818
D-FS-M,database,archeology,60,1.0,,1.0,0.9,0.8666666666666667,successful_build,1.0,0.8666666666666667
D-FS-M,database,polar,60,1.0,,1.0,0.8833333333333333,0.85,successful_build,1.0,0.85
D-FS-M,database,robot,60,1.0,,1.0,0.9166666666666666,0.8833333333333333,successful_build,1.0,0.8833333333333333
D-FS-M,database,vaccine,60,1.0,,1.0,0.85,0.8333333333333334,successful_build,1.0,0.8333333333333334
D-FS-M,database,virtual,60,0.9833333333333333,,0.9833333333333333,0.9,0.8666666666666667,successful_build,0.9833333333333333,0.8813559322033898
D-FS-M,operation,insert_ignore,100,1.0,,1.0,0.83,0.78,successful_build,1.0,0.78
D-FS-M,operation,plain_insert,100,1.0,,1.0,0.91,0.88,successful_build,1.0,0.88
D-FS-M,operation,upsert_update,100,0.99,,0.99,0.93,0.92,successful_build,0.99,0.9292929292929293
J-FS-M,input_format,csv_or_mixed,60,1.0,0.9,0.9,0.9,0.9,successful_build,0.9,1.0
