sample_id,method,db_id,execution_success,current_target_correct,all_table_target_correct,current_strict_correct,all_table_strict_correct,current_off_target,all_table_off_target,target_mismatch,strict_mismatch,off_target_mismatch,current_mismatch_tables,all_table_mismatch_tables,all_table_off_target_tables
final_archeology_001,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_002,D-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_003,D-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_004,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_005,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_006,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_007,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_008,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_009,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_010,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_011,D-FS-M,archeology,True,False,False,False,False,False,False,False,False,False,projects,projects,
final_archeology_012,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_013,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_014,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_015,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_016,D-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_017,D-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_018,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_019,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_020,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_021,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_022,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_023,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_024,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_025,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_026,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_027,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_028,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_029,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_030,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_031,D-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_032,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_033,D-FS-M,archeology,False,False,False,False,False,False,False,False,False,False,,,
final_archeology_034,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_035,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_036,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_037,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_038,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_039,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_040,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_041,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
final_archeology_042,D-FS-M,archeology,True,True,True,True,True,False,False,False,False,False,,,
