sample_id,manual_review_status,reviewer_root_cause,conflict_ambiguity_gold_label,manual_review_notes
final_archeology_002,PENDING,,UNKNOWN,
final_archeology_010,PENDING,,UNKNOWN,
final_archeology_012,PENDING,,,
final_archeology_017,PENDING,,UNKNOWN,
final_archeology_029,PENDING,,UNKNOWN,
final_archeology_032,PENDING,,,
final_archeology_042,PENDING,,,
final_archeology_046,PENDING,,,
final_archeology_056,PENDING,,,
final_archeology_057,PENDING,,,
final_polar_002,PENDING,,,
final_polar_014,PENDING,,,
final_polar_015,PENDING,,,
final_polar_016,PENDING,,,
final_polar_025,PENDING,,,
final_polar_026,PENDING,,,
final_polar_027,PENDING,,UNKNOWN,
final_polar_033,PENDING,,UNKNOWN,
final_polar_040,PENDING,,,
final_polar_041,PENDING,,UNKNOWN,
final_polar_042,PENDING,,,
final_polar_047,PENDING,,,
final_polar_056,PENDING,,,
final_polar_057,PENDING,,,
final_polar_058,PENDING,,,
final_robot_003,PENDING,,UNKNOWN,
final_robot_005,PENDING,,UNKNOWN,
final_robot_011,PENDING,,,
final_robot_012,PENDING,,,
final_robot_016,PENDING,,,
final_robot_019,PENDING,,UNKNOWN,
final_robot_025,PENDING,,,
final_robot_026,PENDING,,,
final_robot_031,PENDING,,,
final_robot_033,PENDING,,,
final_robot_040,PENDING,,,
final_robot_047,PENDING,,,
final_robot_048,PENDING,,UNKNOWN,
final_robot_056,PENDING,,,
final_robot_057,PENDING,,,
final_vaccine_001,PENDING,,,
final_vaccine_002,PENDING,,,
final_vaccine_005,PENDING,,UNKNOWN,
final_vaccine_011,PENDING,,,
final_vaccine_012,PENDING,,,
final_vaccine_016,PENDING,,,
final_vaccine_021,PENDING,,UNKNOWN,
final_vaccine_025,PENDING,,,
final_vaccine_026,PENDING,,,
final_vaccine_031,PENDING,,,
final_vaccine_035,PENDING,,UNKNOWN,
final_vaccine_040,PENDING,,,
final_vaccine_041,PENDING,,UNKNOWN,
final_vaccine_045,PENDING,,,
final_vaccine_048,PENDING,,,
final_vaccine_057,PENDING,,UNKNOWN,
final_vaccine_060,PENDING,,,
final_virtual_010,PENDING,,,
final_virtual_011,PENDING,,,
final_virtual_012,PENDING,,,
final_virtual_025,PENDING,,,
final_virtual_030,PENDING,,,
final_virtual_040,PENDING,,,
final_virtual_041,PENDING,,UNKNOWN,
final_virtual_046,PENDING,,,
final_virtual_047,PENDING,,,
final_virtual_055,PENDING,,UNKNOWN,
final_virtual_056,PENDING,,UNKNOWN,
final_virtual_057,PENDING,,UNKNOWN,
