sample_id,first_failure_stage,failure_reason_code,oracle_variant,oracle_if_bypassed_correct,system_bypass_recoverable,causal_interpretation,abstention_reason
final_archeology_001,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_002,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_003,semantic_gate,RISK_TRUE_REJECT,V2_hard_verifier_plus_provenance,0,0,STAGE_PAIRED_ABLATION,risk_reject
final_archeology_005,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_010,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_016,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_017,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_021,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
