sample_id,direct_correct,jfs_correct,mpfsplus_correct,paired_category,observed_mpfsplus_failure_stage,observed_mpfsplus_failure_reason,hypothesized_baseline_advantage,baseline_advantage_requires_manual_audit
final_archeology_001,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_archeology_002,0,0,0,ALL_WRONG,,,,0
final_archeology_003,0,0,0,ALL_WRONG,,,,0
final_archeology_004,1,1,1,ALL_CORRECT,,,,0
final_archeology_005,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_archeology_006,1,1,1,ALL_CORRECT,,,,0
final_archeology_007,1,1,1,ALL_CORRECT,,,,0
final_archeology_008,1,1,1,ALL_CORRECT,,,,0
final_archeology_009,1,1,1,ALL_CORRECT,,,,0
final_archeology_010,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_archeology_011,0,1,0,J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_archeology_012,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_archeology_013,1,1,1,ALL_CORRECT,,,,0
final_archeology_014,1,1,1,ALL_CORRECT,,,,0
final_archeology_015,1,1,1,ALL_CORRECT,,,,0
final_archeology_016,0,0,0,ALL_WRONG,,,,0
final_archeology_017,0,0,0,ALL_WRONG,,,,0
final_archeology_018,1,1,1,ALL_CORRECT,,,,0
final_archeology_019,1,1,1,ALL_CORRECT,,,,0
final_archeology_020,1,1,1,ALL_CORRECT,,,,0
final_archeology_021,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_022,1,1,1,ALL_CORRECT,,,,0
final_archeology_023,1,1,1,ALL_CORRECT,,,,0
final_archeology_024,1,1,1,ALL_CORRECT,,,,0
final_archeology_025,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_archeology_026,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_archeology_027,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_028,1,1,1,ALL_CORRECT,,,,0
final_archeology_029,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_archeology_030,1,1,1,ALL_CORRECT,,,,0
final_archeology_031,0,0,0,ALL_WRONG,,,,0
final_archeology_032,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_CONFLICT_BEHAVIOR,,1
final_archeology_033,0,1,0,J_CORRECT_MP_WRONG,verification,CONFLICT_WRONG_UPDATE_COLUMNS,,1
final_archeology_034,1,1,1,ALL_CORRECT,,,,0
final_archeology_035,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_036,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_037,1,1,1,ALL_CORRECT,,,,0
final_archeology_038,1,1,1,ALL_CORRECT,,,,0
final_archeology_039,1,1,1,ALL_CORRECT,,,,0
final_archeology_040,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_archeology_041,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_042,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_archeology_043,1,1,1,ALL_CORRECT,,,,0
final_archeology_044,1,1,1,ALL_CORRECT,,,,0
final_archeology_045,1,1,1,ALL_CORRECT,,,,0
final_archeology_046,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_VALUE,,1
final_archeology_047,0,1,0,J_CORRECT_MP_WRONG,materialization,VALUE_WRONG_EVIDENCE_SPAN,,1
final_archeology_048,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_archeology_049,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_050,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_archeology_051,1,1,1,ALL_CORRECT,,,,0
final_archeology_052,1,1,1,ALL_CORRECT,,,,0
final_archeology_053,1,1,1,ALL_CORRECT,,,,0
final_archeology_054,1,1,1,ALL_CORRECT,,,,0
final_archeology_055,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_INVALID_SOURCE_REF,,1
final_archeology_056,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_archeology_057,1,0,0,DIRECT_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_archeology_058,1,1,1,ALL_CORRECT,,,,0
final_archeology_059,1,1,1,ALL_CORRECT,,,,0
final_archeology_060,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_001,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_NORMALIZATION_ERROR,,1
final_polar_002,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_NORMALIZATION_ERROR,,1
final_polar_003,1,0,0,DIRECT_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_polar_004,1,1,1,ALL_CORRECT,,,,0
final_polar_005,0,1,1,MP_CORRECT_DIRECT_WRONG,,,,0
final_polar_006,1,1,1,ALL_CORRECT,,,,0
final_polar_007,1,1,1,ALL_CORRECT,,,,0
final_polar_008,1,1,1,ALL_CORRECT,,,,0
final_polar_009,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_010,1,1,1,ALL_CORRECT,,,,0
final_polar_011,1,1,1,ALL_CORRECT,,,,0
final_polar_012,1,1,1,ALL_CORRECT,,,,0
final_polar_013,1,1,1,ALL_CORRECT,,,,0
final_polar_014,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_VALUE,,1
final_polar_015,1,0,0,DIRECT_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_VALUE,,1
final_polar_016,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_NORMALIZATION_ERROR,,1
final_polar_017,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_WRONG_UPDATE_COLUMNS,,1
final_polar_018,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_019,1,1,1,ALL_CORRECT,,,,0
final_polar_020,1,1,1,ALL_CORRECT,,,,0
final_polar_021,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_022,1,1,1,ALL_CORRECT,,,,0
final_polar_023,1,1,0,DIRECT_J_CORRECT_MP_WRONG,preflight,PREFLIGHT_UNIQUE,,1
final_polar_024,1,1,1,ALL_CORRECT,,,,0
final_polar_025,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_polar_026,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_polar_027,1,0,0,DIRECT_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_polar_028,1,1,1,ALL_CORRECT,,,,0
final_polar_029,1,1,1,ALL_CORRECT,,,,0
final_polar_030,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_031,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_polar_032,1,1,1,ALL_CORRECT,,,,0
final_polar_033,0,0,0,ALL_WRONG,,,,0
final_polar_034,1,1,1,ALL_CORRECT,,,,0
final_polar_035,0,1,1,MP_CORRECT_DIRECT_WRONG,,,,0
final_polar_036,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_037,1,1,1,ALL_CORRECT,,,,0
final_polar_038,0,0,1,ONLY_MP_CORRECT,,,,0
final_polar_039,1,0,1,MP_CORRECT_J_WRONG,,,,0
final_polar_040,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_polar_041,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_polar_042,1,0,0,DIRECT_CORRECT_MP_WRONG,materialization,VALUE_MISSING,,1
final_polar_043,1,1,1,ALL_CORRECT,,,,0
final_polar_044,0,1,0,J_CORRECT_MP_WRONG,preflight,PREFLIGHT_UNIQUE,,1
final_polar_045,1,1,1,ALL_CORRECT,,,,0
final_polar_046,1,1,1,ALL_CORRECT,,,,0
final_polar_047,1,1,0,DIRECT_J_CORRECT_MP_WRONG,materialization,VALUE_NORMALIZATION_ERROR,,1
final_polar_048,0,1,0,J_CORRECT_MP_WRONG,parse,GEN_UNPARSEABLE_OUTPUT,,1
final_polar_049,1,1,1,ALL_CORRECT,,,,0
