Root cause,N incorrect,%
CONFLICT_SEMANTICS_PLANNING_ERROR,20,13.16
CONTROL_FIELD_POLICY_ERROR,22,14.47
DATE_NORMALIZATION_AND_EVIDENCE_SPAN_ERROR,1,0.66
DATE_NORMALIZATION_POLICY_ERROR,9,5.92
EVIDENCE_SPAN_BOUNDARY_ERROR,1,0.66
EVIDENCE_SPAN_SELECTION_ERROR,2,1.32
FREE_TEXT_COLUMN_MAPPING_ERROR,1,0.66
FREE_TEXT_EVIDENCE_AND_GROUP_PLANNING_ERROR,1,0.66
FREE_TEXT_TARGET_GROUP_OMISSION_ERROR,1,0.66
GROUNDING_ERROR,35,23.03
LLM_SEMANTIC_ERROR,27,17.76
MATERIALIZATION_ERROR,11,7.24
PREFLIGHT_ERROR,7,4.61
REPRESENTATION_LIMITATION,3,1.97
SOURCE_PARSER_CONTROL_ROW_SEGMENTATION_ERROR,2,1.32
SOURCE_PARSER_NULL_LITERAL_COERCION_ERROR,2,1.32
SOURCE_PARSER_ROW_SEGMENTATION_ERROR,3,1.97
UPDATE_COLUMN_OMISSION_PLANNING_ERROR,4,2.63
