gate,sample_id,verdict,candidate_correct,cell
hard_verifier,final_archeology_001,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_002,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_003,PASS,0,B_pass_wrong
hard_verifier,final_archeology_004,PASS,1,A_pass_correct
hard_verifier,final_archeology_005,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_006,PASS,1,A_pass_correct
hard_verifier,final_archeology_007,PASS,1,A_pass_correct
hard_verifier,final_archeology_008,PASS,1,A_pass_correct
hard_verifier,final_archeology_009,PASS,1,A_pass_correct
hard_verifier,final_archeology_010,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_011,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_012,REJECT,1,C_reject_correct
hard_verifier,final_archeology_013,PASS,1,A_pass_correct
hard_verifier,final_archeology_014,PASS,1,A_pass_correct
hard_verifier,final_archeology_015,PASS,1,A_pass_correct
hard_verifier,final_archeology_016,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_017,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_018,PASS,1,A_pass_correct
hard_verifier,final_archeology_019,PASS,1,A_pass_correct
hard_verifier,final_archeology_020,PASS,1,A_pass_correct
hard_verifier,final_archeology_021,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_022,PASS,1,A_pass_correct
hard_verifier,final_archeology_023,PASS,1,A_pass_correct
hard_verifier,final_archeology_024,PASS,1,A_pass_correct
hard_verifier,final_archeology_025,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_026,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_027,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_028,PASS,1,A_pass_correct
hard_verifier,final_archeology_029,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_030,PASS,1,A_pass_correct
hard_verifier,final_archeology_031,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_032,PASS,0,B_pass_wrong
hard_verifier,final_archeology_033,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_034,PASS,1,A_pass_correct
hard_verifier,final_archeology_035,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_036,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_037,PASS,1,A_pass_correct
hard_verifier,final_archeology_038,PASS,1,A_pass_correct
hard_verifier,final_archeology_039,PASS,1,A_pass_correct
hard_verifier,final_archeology_040,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_041,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_042,REJECT,1,C_reject_correct
hard_verifier,final_archeology_043,PASS,1,A_pass_correct
hard_verifier,final_archeology_044,PASS,1,A_pass_correct
hard_verifier,final_archeology_045,PASS,1,A_pass_correct
hard_verifier,final_archeology_046,PASS,0,B_pass_wrong
hard_verifier,final_archeology_047,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_048,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_049,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_050,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_051,PASS,1,A_pass_correct
hard_verifier,final_archeology_052,PASS,1,A_pass_correct
hard_verifier,final_archeology_053,PASS,1,A_pass_correct
hard_verifier,final_archeology_054,PASS,1,A_pass_correct
hard_verifier,final_archeology_055,REJECT,0,D_reject_wrong
hard_verifier,final_archeology_056,REJECT,1,C_reject_correct
hard_verifier,final_archeology_057,REJECT,1,C_reject_correct
hard_verifier,final_archeology_058,PASS,1,A_pass_correct
hard_verifier,final_archeology_059,PASS,1,A_pass_correct
hard_verifier,final_archeology_060,PASS,1,A_pass_correct
hard_verifier,final_polar_001,REJECT,0,D_reject_wrong
hard_verifier,final_polar_002,REJECT,0,D_reject_wrong
hard_verifier,final_polar_003,REJECT,0,D_reject_wrong
hard_verifier,final_polar_004,PASS,1,A_pass_correct
hard_verifier,final_polar_005,PASS,1,A_pass_correct
hard_verifier,final_polar_006,PASS,1,A_pass_correct
hard_verifier,final_polar_007,PASS,1,A_pass_correct
hard_verifier,final_polar_008,PASS,1,A_pass_correct
hard_verifier,final_polar_009,PASS,1,A_pass_correct
hard_verifier,final_polar_010,PASS,1,A_pass_correct
hard_verifier,final_polar_011,PASS,1,A_pass_correct
hard_verifier,final_polar_012,PASS,1,A_pass_correct
hard_verifier,final_polar_013,PASS,1,A_pass_correct
hard_verifier,final_polar_014,PASS,0,B_pass_wrong
hard_verifier,final_polar_015,PASS,0,B_pass_wrong
hard_verifier,final_polar_016,REJECT,0,D_reject_wrong
hard_verifier,final_polar_017,REJECT,0,D_reject_wrong
hard_verifier,final_polar_018,PASS,1,A_pass_correct
hard_verifier,final_polar_019,PASS,1,A_pass_correct
hard_verifier,final_polar_020,PASS,1,A_pass_correct
hard_verifier,final_polar_021,PASS,1,A_pass_correct
hard_verifier,final_polar_022,PASS,1,A_pass_correct
hard_verifier,final_polar_023,PASS,0,B_pass_wrong
hard_verifier,final_polar_024,PASS,1,A_pass_correct
hard_verifier,final_polar_025,REJECT,1,C_reject_correct
hard_verifier,final_polar_026,REJECT,1,C_reject_correct
hard_verifier,final_polar_027,REJECT,0,D_reject_wrong
hard_verifier,final_polar_028,PASS,1,A_pass_correct
hard_verifier,final_polar_029,PASS,1,A_pass_correct
hard_verifier,final_polar_030,PASS,1,A_pass_correct
hard_verifier,final_polar_031,REJECT,0,D_reject_wrong
hard_verifier,final_polar_032,PASS,1,A_pass_correct
hard_verifier,final_polar_033,REJECT,0,D_reject_wrong
hard_verifier,final_polar_034,PASS,1,A_pass_correct
hard_verifier,final_polar_035,PASS,1,A_pass_correct
hard_verifier,final_polar_036,PASS,1,A_pass_correct
hard_verifier,final_polar_037,PASS,1,A_pass_correct
hard_verifier,final_polar_038,PASS,1,A_pass_correct
hard_verifier,final_polar_039,PASS,1,A_pass_correct
hard_verifier,final_polar_040,REJECT,1,C_reject_correct
hard_verifier,final_polar_041,REJECT,0,D_reject_wrong
hard_verifier,final_polar_042,REJECT,1,C_reject_correct
hard_verifier,final_polar_043,PASS,1,A_pass_correct
hard_verifier,final_polar_044,PASS,0,B_pass_wrong
hard_verifier,final_polar_045,PASS,1,A_pass_correct
hard_verifier,final_polar_046,PASS,1,A_pass_correct
hard_verifier,final_polar_047,REJECT,0,D_reject_wrong
hard_verifier,final_polar_049,PASS,1,A_pass_correct
hard_verifier,final_polar_050,PASS,1,A_pass_correct
hard_verifier,final_polar_051,PASS,1,A_pass_correct
hard_verifier,final_polar_052,PASS,1,A_pass_correct
hard_verifier,final_polar_053,PASS,1,A_pass_correct
hard_verifier,final_polar_054,PASS,1,A_pass_correct
hard_verifier,final_polar_055,REJECT,0,D_reject_wrong
hard_verifier,final_polar_056,REJECT,1,C_reject_correct
hard_verifier,final_polar_057,REJECT,1,C_reject_correct
hard_verifier,final_polar_058,PASS,0,B_pass_wrong
hard_verifier,final_polar_059,PASS,1,A_pass_correct
hard_verifier,final_polar_060,PASS,1,A_pass_correct
hard_verifier,final_robot_002,REJECT,0,D_reject_wrong
hard_verifier,final_robot_003,REJECT,0,D_reject_wrong
hard_verifier,final_robot_004,PASS,1,A_pass_correct
hard_verifier,final_robot_005,REJECT,0,D_reject_wrong
hard_verifier,final_robot_006,PASS,1,A_pass_correct
hard_verifier,final_robot_007,PASS,1,A_pass_correct
hard_verifier,final_robot_008,PASS,1,A_pass_correct
hard_verifier,final_robot_009,PASS,1,A_pass_correct
hard_verifier,final_robot_010,REJECT,0,D_reject_wrong
hard_verifier,final_robot_011,REJECT,1,C_reject_correct
hard_verifier,final_robot_012,REJECT,1,C_reject_correct
hard_verifier,final_robot_013,PASS,1,A_pass_correct
hard_verifier,final_robot_014,PASS,0,B_pass_wrong
hard_verifier,final_robot_015,PASS,1,A_pass_correct
hard_verifier,final_robot_016,REJECT,0,D_reject_wrong
hard_verifier,final_robot_017,REJECT,0,D_reject_wrong
hard_verifier,final_robot_018,REJECT,0,D_reject_wrong
hard_verifier,final_robot_019,REJECT,0,D_reject_wrong
hard_verifier,final_robot_020,REJECT,0,D_reject_wrong
hard_verifier,final_robot_021,REJECT,0,D_reject_wrong
hard_verifier,final_robot_022,PASS,1,A_pass_correct
