sample_id,first_failure_code,plan_kind,classification,reference_error_count,repairable_reference_error_count,other_error_codes,proposed_repairs,reference_errors
final_archeology_016,REF_UNKNOWN_COLUMN,free_text,NON_REPAIRABLE_REFERENCE,2,0,,[],"[[""UNKNOWN_COLUMN_ID"",""t3.c6"",""/write_groups/0/rows/0/t3.c6"",null,null,5],[""UNKNOWN_COLUMN_ID"",""t14.c20"",""/write_groups/1/rows/0/t14.c20"",null,null,19]]"
final_archeology_021,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,2,2,UNEXPECTED_CONSTRAINT_ID,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.arcregistry"",""t3.c1"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t3.authpin"",""t3.c3"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.arcregistry"",""/target_groups/0/field_mapping/c1.f1"",""t3.c1"",""exact_name_in_target_table"",5],[""UNKNOWN_COLUMN_ID"",""t3.authpin"",""/target_groups/0/field_mapping/c1.f2"",""t3.c3"",""exact_name_in_target_table"",5]]"
final_archeology_027,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t14.zoneregistry"",""t14.c19"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t14.zoneregistry"",""/target_groups/0/field_mapping/c1.f1"",""t14.c19"",""exact_name_in_target_table"",19]]"
final_archeology_031,REF_UNKNOWN_COLUMN,free_text,NON_REPAIRABLE_REFERENCE,63,0,,[],"[[""UNKNOWN_COLUMN_ID"",""t1.c7"",""/write_groups/0/rows/6/t1.c7"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c8"",""/write_groups/0/rows/7/t1.c8"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c9"",""/write_groups/0/rows/8/t1.c9"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c10"",""/write_groups/0/rows/9/t1.c10"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c11"",""/write_groups/0/rows/10/t1.c11"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c12"",""/write_groups/0/rows/11/t1.c12"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c13"",""/write_groups/0/rows/12/t1.c13"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c14"",""/write_groups/0/rows/13/t1.c14"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c15"",""/write_groups/0/rows/14/t1.c15"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c16"",""/write_groups/0/rows/15/t1.c16"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c17"",""/write_groups/0/rows/16/t1.c17"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c18"",""/write_groups/0/rows/17/t1.c18"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c19"",""/write_groups/0/rows/18/t1.c19"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c20"",""/write_groups/0/rows/19/t1.c20"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c21"",""/write_groups/0/rows/20/t1.c21"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c22"",""/write_groups/0/rows/21/t1.c22"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c23"",""/write_groups/0/rows/22/t1.c23"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c24"",""/write_groups/0/rows/23/t1.c24"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c25"",""/write_groups/0/rows/24/t1.c25"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c26"",""/write_groups/0/rows/25/t1.c26"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c27"",""/write_groups/0/rows/26/t1.c27"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c28"",""/write_groups/0/rows/27/t1.c28"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c29"",""/write_groups/0/rows/28/t1.c29"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c30"",""/write_groups/0/rows/29/t1.c30"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c31"",""/write_groups/0/rows/30/t1.c31"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c32"",""/write_groups/0/rows/31/t1.c32"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c33"",""/write_groups/0/rows/32/t1.c33"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c34"",""/write_groups/0/rows/33/t1.c34"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c35"",""/write_groups/0/rows/34/t1.c35"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c36"",""/write_groups/0/rows/35/t1.c36"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c37"",""/write_groups/0/rows/36/t1.c37"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c38"",""/write_groups/0/rows/37/t1.c38"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c39"",""/write_groups/0/rows/38/t1.c39"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c40"",""/write_groups/0/rows/39/t1.c40"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c41"",""/write_groups/0/rows/40/t1.c41"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c42"",""/write_groups/0/rows/41/t1.c42"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c43"",""/write_groups/0/rows/42/t1.c43"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c44"",""/write_groups/0/rows/43/t1.c44"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c45"",""/write_groups/0/rows/44/t1.c45"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c46"",""/write_groups/0/rows/45/t1.c46"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c47"",""/write_groups/0/rows/46/t1.c47"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c48"",""/write_groups/0/rows/47/t1.c48"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c49"",""/write_groups/0/rows/48/t1.c49"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c50"",""/write_groups/0/rows/49/t1.c50"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c51"",""/write_groups/0/rows/50/t1.c51"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c52"",""/write_groups/0/rows/51/t1.c52"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c53"",""/write_groups/0/rows/52/t1.c53"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c54"",""/write_groups/0/rows/53/t1.c54"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c55"",""/write_groups/0/rows/54/t1.c55"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c56"",""/write_groups/0/rows/55/t1.c56"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c57"",""/write_groups/0/rows/56/t1.c57"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c58"",""/write_groups/0/rows/57/t1.c58"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c59"",""/write_groups/0/rows/58/t1.c59"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c60"",""/write_groups/0/rows/59/t1.c60"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c61"",""/write_groups/0/rows/60/t1.c61"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c62"",""/write_groups/0/rows/61/t1.c62"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c63"",""/write_groups/0/rows/62/t1.c63"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c64"",""/write_groups/0/rows/63/t1.c64"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c65"",""/write_groups/0/rows/64/t1.c65"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c66"",""/write_groups/0/rows/65/t1.c66"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c67"",""/write_groups/0/rows/66/t1.c67"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c68"",""/write_groups/0/rows/67/t1.c68"",null,null,6],[""UNKNOWN_COLUMN_ID"",""t1.c69"",""/write_groups/0/rows/68/t1.c69"",null,null,6]]"
final_archeology_035,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,1,1,UNEXPECTED_CONSTRAINT_ID,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.arcregistry"",""t3.c1"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.arcregistry"",""/target_groups/0/field_mapping/c1.f1"",""t3.c1"",""exact_name_in_target_table"",5]]"
final_archeology_036,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.arcregistry"",""t3.c1"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.arcregistry"",""/target_groups/0/field_mapping/c1.f1"",""t3.c1"",""exact_name_in_target_table"",5]]"
final_archeology_041,REF_UNKNOWN_COLUMN,mapping,REFERENCE_REPAIR_PARTIAL_BUT_SAMPLE_NOT_SAFE,1,1,UNEXPECTED_CONSTRAINT_ID,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.arcregistry"",""t3.c1"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.arcregistry"",""/target_groups/0/field_mapping/c1.f1"",""t3.c1"",""exact_name_in_target_table"",5]]"
final_archeology_049,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,2,2,,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.arcregistry"",""t3.c1"",""unique_exact_identifier_name""],[""/target_groups/0/field_mapping/c1.f2"",""t3.authpin"",""t3.c3"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.arcregistry"",""/target_groups/0/field_mapping/c1.f1"",""t3.c1"",""exact_name_in_target_table"",5],[""UNKNOWN_COLUMN_ID"",""t3.authpin"",""/target_groups/0/field_mapping/c1.f2"",""t3.c3"",""exact_name_in_target_table"",5]]"
final_archeology_050,REF_UNKNOWN_COLUMN,mapping,REPAIRABLE_REFERENCE_ONLY,1,1,,"[[""/target_groups/0/field_mapping/c1.f1"",""t3.arcregistry"",""t3.c1"",""unique_exact_identifier_name""]]","[[""UNKNOWN_COLUMN_ID"",""t3.arcregistry"",""/target_groups/0/field_mapping/c1.f1"",""t3.c1"",""exact_name_in_target_table"",5]]"
final_archeology_055,REF_INVALID_SOURCE_REF,mapping,NON_REPAIRABLE_REFERENCE,3,0,NEEDS_CLARIFICATION,[],"[[""UNKNOWN_SOURCE_FIELD_ID"",""c1.f3"",""/target_groups/0/field_mapping/c1.f3"",null,null,4],[""UNKNOWN_SOURCE_FIELD_ID"",""c1.f4"",""/target_groups/0/field_mapping/c1.f4"",null,null,4],[""UNKNOWN_SOURCE_FIELD_ID"",""c1.f5"",""/target_groups/0/field_mapping/c1.f5"",null,null,4]]"
