sample_id,db_id,input_type,operation_type,V0_correct,V0_strict_correct,V0_first_failure,V1_correct,V1_strict_correct,V1_first_failure,V2_correct,V2_strict_correct,V2_first_failure,V3_correct,V3_strict_correct,V3_first_failure,V4_correct,V4_strict_correct,V4_first_failure,V5_correct,V5_strict_correct,V5_first_failure,V6_correct,V6_strict_correct,V6_first_failure,V7_correct,V7_strict_correct,V7_first_failure,V8_correct,V8_strict_correct,V8_first_failure,A_activated,B_activated,C_activated,D_activated,E_activated,F_activated,G1_activated,G2_activated,F_repair_attempted,F_repair_applied,F_repair_succeeded,F_repair_rules,G1_repair_attempted,G1_repair_applied,G1_repair_succeeded,G1_repair_rules,G2_repair_attempted,G2_repair_applied,G2_repair_succeeded,G2_repair_rules,repair_attempted,repair_applied,repair_succeeded
final_archeology_001,archeology,free_text,plain_insert,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_002,archeology,free_text,insert_ignore,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_003,archeology,free_text,upsert_update,0,0,semantic_gate,0,0,semantic_gate,0,0,semantic_gate,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_004,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_005,archeology,semi_structured,insert_ignore,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_006,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_007,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_008,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_009,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_010,archeology,semi_structured,plain_insert,0,0,reference_resolution,0,0,reference_resolution,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_011,archeology,semi_structured,insert_ignore,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,materialization,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_012,archeology,semi_structured,upsert_update,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_013,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_014,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_015,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_016,archeology,free_text,plain_insert,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,1,0,0,1,0,0,ambiguous_closed_set,0,0,0,,0,0,0,,1,0,0
final_archeology_017,archeology,free_text,insert_ignore,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,1,0,0,1,0,0,ambiguous_closed_set,0,0,0,,0,0,0,,1,0,0
final_archeology_018,archeology,free_text,upsert_update,1,1,none,1,1,none,1,1,none,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_019,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_020,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_021,archeology,semi_structured,upsert_update,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,0,0,0,1,0,0,1,1,1,unique_exact_identifier_name,0,0,0,,0,0,0,,1,1,1
final_archeology_022,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_023,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_024,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_025,archeology,semi_structured,plain_insert,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,0,0,verification,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_026,archeology,semi_structured,insert_ignore,0,0,verification,0,0,verification,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_027,archeology,semi_structured,upsert_update,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_028,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_029,archeology,semi_structured,insert_ignore,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,1,0,0,0,0,0,0,0,0,0,protected_semantics_not_repairable,0,0,0,,0,0,0,,0,0,0
final_archeology_030,archeology,semi_structured,upsert_update,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_031,archeology,free_text,plain_insert,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,0,0,0,1,0,0,1,0,0,ambiguous_closed_set,0,0,0,,0,0,0,,1,0,0
final_archeology_032,archeology,free_text,insert_ignore,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,0,0,state_mismatch,1,1,none,1,1,none,0,1,0,0,0,0,1,0,0,0,0,,1,1,1,unique_pre_enumerated_terminal_punctuation_trim,0,0,0,,1,1,1
final_archeology_033,archeology,free_text,upsert_update,0,0,evidence_materialization,0,0,evidence_materialization,0,0,evidence_materialization,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,semantic_preservation,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_034,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_035,archeology,semi_structured,insert_ignore,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,0,0,0,1,0,0,1,1,1,unique_exact_identifier_name,0,0,0,,0,0,0,,1,1,1
final_archeology_036,archeology,semi_structured,upsert_update,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,reference_resolution,0,0,verification,0,0,verification,0,0,verification,0,0,0,0,0,1,0,0,1,1,1,unique_exact_identifier_name,0,0,0,,0,0,0,,1,1,1
final_archeology_037,archeology,semi_structured,plain_insert,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
final_archeology_038,archeology,semi_structured,insert_ignore,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,1,1,none,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
