intervention,from_variant,to_variant,from_first_failure,to_first_failure,sample_count
A,V0,V1,evidence_materialization,evidence_materialization,31
A,V0,V1,materialization,materialization,2
A,V0,V1,none,none,148
A,V0,V1,parse,parse,6
A,V0,V1,preflight,preflight,6
A,V0,V1,reference_resolution,reference_resolution,44
A,V0,V1,semantic_gate,semantic_gate,1
A,V0,V1,state_mismatch,state_mismatch,16
A,V0,V1,verification,verification,46
B,V1,V2,evidence_materialization,evidence_materialization,31
B,V1,V2,materialization,materialization,2
B,V1,V2,none,none,148
B,V1,V2,parse,parse,6
B,V1,V2,preflight,preflight,6
B,V1,V2,reference_resolution,preflight,1
B,V1,V2,reference_resolution,reference_resolution,39
B,V1,V2,reference_resolution,state_mismatch,1
B,V1,V2,reference_resolution,verification,3
B,V1,V2,semantic_gate,semantic_gate,1
B,V1,V2,state_mismatch,state_mismatch,16
B,V1,V2,verification,reference_resolution,2
B,V1,V2,verification,verification,44
C,V2,V3,evidence_materialization,evidence_materialization,26
C,V2,V3,evidence_materialization,semantic_preservation,5
C,V2,V3,materialization,materialization,2
C,V2,V3,none,none,145
C,V2,V3,none,semantic_preservation,3
C,V2,V3,parse,parse,6
C,V2,V3,preflight,preflight,7
C,V2,V3,reference_resolution,reference_resolution,39
C,V2,V3,reference_resolution,verification,2
C,V2,V3,semantic_gate,semantic_preservation,1
C,V2,V3,state_mismatch,state_mismatch,17
C,V2,V3,verification,semantic_preservation,1
C,V2,V3,verification,verification,46
D,V3,V4,evidence_materialization,evidence_materialization,26
D,V3,V4,materialization,materialization,2
D,V3,V4,none,none,145
D,V3,V4,parse,parse,6
D,V3,V4,preflight,none,1
D,V3,V4,preflight,preflight,6
D,V3,V4,reference_resolution,none,6
D,V3,V4,reference_resolution,reference_resolution,32
D,V3,V4,reference_resolution,verification,1
D,V3,V4,semantic_preservation,semantic_preservation,10
D,V3,V4,state_mismatch,none,7
D,V3,V4,state_mismatch,state_mismatch,10
D,V3,V4,verification,none,19
D,V3,V4,verification,state_mismatch,1
D,V3,V4,verification,verification,28
E,V4,V5,evidence_materialization,evidence_materialization,24
E,V4,V5,evidence_materialization,semantic_gate,1
E,V4,V5,evidence_materialization,state_mismatch,1
E,V4,V5,materialization,materialization,2
E,V4,V5,none,none,178
E,V4,V5,parse,parse,6
E,V4,V5,preflight,preflight,6
E,V4,V5,reference_resolution,reference_resolution,32
E,V4,V5,semantic_preservation,semantic_preservation,10
E,V4,V5,state_mismatch,state_mismatch,11
E,V4,V5,verification,verification,29
F,V5,V6,evidence_materialization,evidence_materialization,24
F,V5,V6,materialization,materialization,2
F,V5,V6,none,none,178
F,V5,V6,parse,parse,6
F,V5,V6,preflight,preflight,6
F,V5,V6,reference_resolution,reference_resolution,17
F,V5,V6,reference_resolution,verification,15
F,V5,V6,semantic_gate,semantic_gate,1
F,V5,V6,semantic_preservation,semantic_preservation,10
F,V5,V6,state_mismatch,state_mismatch,12
F,V5,V6,verification,verification,29
G1,V6,V7,evidence_materialization,evidence_materialization,24
G1,V6,V7,materialization,materialization,2
G1,V6,V7,none,none,178
G1,V6,V7,parse,parse,6
G1,V6,V7,preflight,preflight,6
G1,V6,V7,reference_resolution,reference_resolution,17
G1,V6,V7,semantic_gate,semantic_gate,1
G1,V6,V7,semantic_preservation,semantic_preservation,10
G1,V6,V7,state_mismatch,none,1
G1,V6,V7,state_mismatch,state_mismatch,11
G1,V6,V7,verification,verification,44
G2,V7,V8,evidence_materialization,diagnostic_targeted_revalidation,1
G2,V7,V8,evidence_materialization,evidence_materialization,23
G2,V7,V8,materialization,materialization,2
G2,V7,V8,none,none,179
G2,V7,V8,parse,parse,6
G2,V7,V8,preflight,preflight,6
G2,V7,V8,reference_resolution,reference_resolution,17
G2,V7,V8,semantic_gate,semantic_gate,1
G2,V7,V8,semantic_preservation,semantic_preservation,10
G2,V7,V8,state_mismatch,state_mismatch,11
G2,V7,V8,verification,verification,44
