variant,first_failure,sample_count,fraction_of_300
V0,evidence_materialization,31,0.10333333333333333
V0,materialization,2,0.006666666666666667
V0,none,148,0.49333333333333335
V0,parse,6,0.02
V0,preflight,6,0.02
V0,reference_resolution,44,0.14666666666666667
V0,semantic_gate,1,0.0033333333333333335
V0,state_mismatch,16,0.05333333333333334
V0,verification,46,0.15333333333333332
V1,evidence_materialization,31,0.10333333333333333
V1,materialization,2,0.006666666666666667
V1,none,148,0.49333333333333335
V1,parse,6,0.02
V1,preflight,6,0.02
V1,reference_resolution,44,0.14666666666666667
V1,semantic_gate,1,0.0033333333333333335
V1,state_mismatch,16,0.05333333333333334
V1,verification,46,0.15333333333333332
V2,evidence_materialization,31,0.10333333333333333
V2,materialization,2,0.006666666666666667
V2,none,148,0.49333333333333335
V2,parse,6,0.02
V2,preflight,7,0.023333333333333334
V2,reference_resolution,41,0.13666666666666666
V2,semantic_gate,1,0.0033333333333333335
V2,state_mismatch,17,0.056666666666666664
V2,verification,47,0.15666666666666668
V3,evidence_materialization,26,0.08666666666666667
V3,materialization,2,0.006666666666666667
V3,none,145,0.48333333333333334
V3,parse,6,0.02
V3,preflight,7,0.023333333333333334
V3,reference_resolution,39,0.13
V3,semantic_preservation,10,0.03333333333333333
V3,state_mismatch,17,0.056666666666666664
V3,verification,48,0.16
V4,evidence_materialization,26,0.08666666666666667
V4,materialization,2,0.006666666666666667
V4,none,178,0.5933333333333334
V4,parse,6,0.02
V4,preflight,6,0.02
V4,reference_resolution,32,0.10666666666666667
V4,semantic_preservation,10,0.03333333333333333
V4,state_mismatch,11,0.03666666666666667
V4,verification,29,0.09666666666666666
V5,evidence_materialization,24,0.08
V5,materialization,2,0.006666666666666667
V5,none,178,0.5933333333333334
V5,parse,6,0.02
V5,preflight,6,0.02
V5,reference_resolution,32,0.10666666666666667
V5,semantic_gate,1,0.0033333333333333335
V5,semantic_preservation,10,0.03333333333333333
V5,state_mismatch,12,0.04
V5,verification,29,0.09666666666666666
V6,evidence_materialization,24,0.08
V6,materialization,2,0.006666666666666667
V6,none,178,0.5933333333333334
V6,parse,6,0.02
V6,preflight,6,0.02
V6,reference_resolution,17,0.056666666666666664
V6,semantic_gate,1,0.0033333333333333335
V6,semantic_preservation,10,0.03333333333333333
V6,state_mismatch,12,0.04
V6,verification,44,0.14666666666666667
V7,evidence_materialization,24,0.08
V7,materialization,2,0.006666666666666667
V7,none,179,0.5966666666666667
V7,parse,6,0.02
V7,preflight,6,0.02
V7,reference_resolution,17,0.056666666666666664
V7,semantic_gate,1,0.0033333333333333335
V7,semantic_preservation,10,0.03333333333333333
V7,state_mismatch,11,0.03666666666666667
V7,verification,44,0.14666666666666667
V8,diagnostic_targeted_revalidation,1,0.0033333333333333335
V8,evidence_materialization,23,0.07666666666666666
V8,materialization,2,0.006666666666666667
V8,none,179,0.5966666666666667
V8,parse,6,0.02
V8,preflight,6,0.02
V8,reference_resolution,17,0.056666666666666664
V8,semantic_gate,1,0.0033333333333333335
V8,semantic_preservation,10,0.03333333333333333
V8,state_mismatch,11,0.03666666666666667
V8,verification,44,0.14666666666666667
