candidate,sample_id,input_type,operation_type,db_id,first_failure
FULL,final_archeology_010,semi_structured,plain_insert,archeology,state_mismatch
FULL,final_archeology_046,free_text,plain_insert,archeology,state_mismatch
FULL,final_polar_015,semi_structured,upsert_update,polar,state_mismatch
FULL,final_polar_042,semi_structured,upsert_update,polar,state_mismatch
FULL,final_robot_047,free_text,insert_ignore,robot,state_mismatch
FULL,final_vaccine_001,free_text,plain_insert,vaccine,state_mismatch
FULL,final_vaccine_045,semi_structured,upsert_update,vaccine,state_mismatch
FULL,final_vaccine_060,semi_structured,upsert_update,vaccine,state_mismatch
FULL,final_virtual_030,semi_structured,upsert_update,virtual,state_mismatch
FULL,final_virtual_046,free_text,plain_insert,virtual,state_mismatch
FULL,final_virtual_047,free_text,insert_ignore,virtual,state_mismatch
NO_C,final_archeology_010,semi_structured,plain_insert,archeology,state_mismatch
NO_C,final_archeology_046,free_text,plain_insert,archeology,state_mismatch
NO_C,final_polar_015,semi_structured,upsert_update,polar,state_mismatch
NO_C,final_polar_042,semi_structured,upsert_update,polar,state_mismatch
NO_C,final_robot_033,free_text,upsert_update,robot,state_mismatch
NO_C,final_robot_047,free_text,insert_ignore,robot,state_mismatch
NO_C,final_vaccine_001,free_text,plain_insert,vaccine,state_mismatch
NO_C,final_vaccine_045,semi_structured,upsert_update,vaccine,state_mismatch
NO_C,final_vaccine_048,free_text,upsert_update,vaccine,state_mismatch
NO_C,final_vaccine_060,semi_structured,upsert_update,vaccine,state_mismatch
NO_C,final_virtual_030,semi_structured,upsert_update,virtual,state_mismatch
NO_C,final_virtual_046,free_text,plain_insert,virtual,state_mismatch
NO_C,final_virtual_047,free_text,insert_ignore,virtual,state_mismatch
D_ONLY,final_archeology_032,free_text,insert_ignore,archeology,state_mismatch
D_ONLY,final_archeology_046,free_text,plain_insert,archeology,state_mismatch
D_ONLY,final_polar_015,semi_structured,upsert_update,polar,state_mismatch
D_ONLY,final_robot_047,free_text,insert_ignore,robot,state_mismatch
D_ONLY,final_vaccine_045,semi_structured,upsert_update,vaccine,state_mismatch
D_ONLY,final_vaccine_060,semi_structured,upsert_update,vaccine,state_mismatch
D_ONLY,final_virtual_030,semi_structured,upsert_update,virtual,state_mismatch
D_ONLY,final_virtual_046,free_text,plain_insert,virtual,state_mismatch
D_ONLY,final_virtual_047,free_text,insert_ignore,virtual,state_mismatch
D_G1,final_archeology_046,free_text,plain_insert,archeology,state_mismatch
D_G1,final_polar_015,semi_structured,upsert_update,polar,state_mismatch
D_G1,final_robot_047,free_text,insert_ignore,robot,state_mismatch
D_G1,final_vaccine_045,semi_structured,upsert_update,vaccine,state_mismatch
D_G1,final_vaccine_060,semi_structured,upsert_update,vaccine,state_mismatch
D_G1,final_virtual_030,semi_structured,upsert_update,virtual,state_mismatch
D_G1,final_virtual_046,free_text,plain_insert,virtual,state_mismatch
D_G1,final_virtual_047,free_text,insert_ignore,virtual,state_mismatch
