candidate,dimension,value,samples,target_state_correct,target_state_accuracy,accepted_output,coverage,accepted_output_accuracy,false_accept,rescued_vs_V0,regressed_vs_V0
FULL,input_type,free_text,60,6,0.1,11,0.18333333333333332,0.5454545454545454,5,1,3
FULL,input_type,semi_structured,240,173,0.7208333333333333,179,0.7458333333333333,0.9664804469273743,6,33,0
FULL,operation_type,insert_ignore,100,57,0.57,59,0.59,0.9661016949152542,2,11,0
FULL,operation_type,plain_insert,100,67,0.67,71,0.71,0.9436619718309859,4,14,0
FULL,operation_type,upsert_update,100,55,0.55,60,0.6,0.9166666666666666,5,9,3
FULL,database,archeology,60,34,0.5666666666666667,36,0.6,0.9444444444444444,2,5,1
FULL,database,polar,60,46,0.7666666666666667,48,0.8,0.9583333333333334,2,10,1
FULL,database,robot,60,38,0.6333333333333333,39,0.65,0.9743589743589743,1,11,0
FULL,database,vaccine,60,29,0.48333333333333334,32,0.5333333333333333,0.90625,3,4,0
FULL,database,virtual,60,32,0.5333333333333333,35,0.5833333333333334,0.9142857142857143,3,4,1
NO_C,input_type,free_text,60,9,0.15,16,0.26666666666666666,0.5625,7,1,0
NO_C,input_type,semi_structured,240,173,0.7208333333333333,179,0.7458333333333333,0.9664804469273743,6,33,0
NO_C,operation_type,insert_ignore,100,57,0.57,59,0.59,0.9661016949152542,2,11,0
NO_C,operation_type,plain_insert,100,67,0.67,71,0.71,0.9436619718309859,4,14,0
NO_C,operation_type,upsert_update,100,58,0.58,65,0.65,0.8923076923076924,7,9,0
NO_C,database,archeology,60,35,0.5833333333333334,37,0.6166666666666667,0.9459459459459459,2,5,0
NO_C,database,polar,60,47,0.7833333333333333,49,0.8166666666666667,0.9591836734693877,2,10,0
NO_C,database,robot,60,38,0.6333333333333333,40,0.6666666666666666,0.95,2,11,0
NO_C,database,vaccine,60,29,0.48333333333333334,33,0.55,0.8787878787878788,4,4,0
NO_C,database,virtual,60,33,0.55,36,0.6,0.9166666666666666,3,4,0
D_ONLY,input_type,free_text,60,8,0.13333333333333333,13,0.21666666666666667,0.6153846153846154,5,0,0
D_ONLY,input_type,semi_structured,240,174,0.725,178,0.7416666666666667,0.9775280898876404,4,34,0
D_ONLY,operation_type,insert_ignore,100,56,0.56,59,0.59,0.9491525423728814,3,10,0
D_ONLY,operation_type,plain_insert,100,67,0.67,69,0.69,0.9710144927536232,2,14,0
D_ONLY,operation_type,upsert_update,100,59,0.59,63,0.63,0.9365079365079365,4,10,0
D_ONLY,database,archeology,60,34,0.5666666666666667,36,0.6,0.9444444444444444,2,4,0
D_ONLY,database,polar,60,48,0.8,49,0.8166666666666667,0.9795918367346939,1,11,0
D_ONLY,database,robot,60,38,0.6333333333333333,39,0.65,0.9743589743589743,1,11,0
D_ONLY,database,vaccine,60,29,0.48333333333333334,31,0.5166666666666667,0.9354838709677419,2,4,0
D_ONLY,database,virtual,60,33,0.55,36,0.6,0.9166666666666666,3,4,0
D_G1,input_type,free_text,60,9,0.15,13,0.21666666666666667,0.6923076923076923,4,1,0
D_G1,input_type,semi_structured,240,174,0.725,178,0.7416666666666667,0.9775280898876404,4,34,0
D_G1,operation_type,insert_ignore,100,57,0.57,59,0.59,0.9661016949152542,2,11,0
D_G1,operation_type,plain_insert,100,67,0.67,69,0.69,0.9710144927536232,2,14,0
D_G1,operation_type,upsert_update,100,59,0.59,63,0.63,0.9365079365079365,4,10,0
D_G1,database,archeology,60,35,0.5833333333333334,36,0.6,0.9722222222222222,1,5,0
D_G1,database,polar,60,48,0.8,49,0.8166666666666667,0.9795918367346939,1,11,0
D_G1,database,robot,60,38,0.6333333333333333,39,0.65,0.9743589743589743,1,11,0
D_G1,database,vaccine,60,29,0.48333333333333334,31,0.5166666666666667,0.9354838709677419,2,4,0
D_G1,database,virtual,60,33,0.55,36,0.6,0.9166666666666666,3,4,0
