sample_id,db_id,input_type,V0_prompt_sha256,V1_prompt_sha256,V2_prompt_sha256,V3_prompt_sha256,V4_prompt_sha256,V5_prompt_sha256,V6_prompt_sha256,V7_prompt_sha256,V8_prompt_sha256,FULL_prompt_sha256,NO_C_prompt_sha256,D_ONLY_prompt_sha256,D_G1_prompt_sha256,V0_eq_V1,V1_eq_V2,V2_eq_V3,V3_eq_V4,V4_eq_V5,V5_eq_V6,V6_eq_V7,V7_eq_V8,V0_to_V3_all_equal,V4_to_V8_all_equal,all_candidates_equal_V4
final_archeology_001,archeology,free_text,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,63baeb39426170e80bfaf7dd087cb3ed40acf1cce4d3949040a45944d49b3a18,1,1,1,1,1,1,1,1,1,1,1
final_archeology_002,archeology,free_text,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,f340f0bd757769a3ca1af69657ed141ca1d64d3884bdba8bfc87377108ddeb76,1,1,1,1,1,1,1,1,1,1,1
final_archeology_003,archeology,free_text,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,7235bf64186e9d605548aec5ccfc3d31c9e06d05b436a7a373a6c5614c655a69,1,1,1,1,1,1,1,1,1,1,1
final_archeology_004,archeology,semi_structured,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,12b59b45574ef3d1189830b703de0adaa66d3c71d1ddea27c2e6c2cfcb577dde,1,1,1,1,1,1,1,1,1,1,1
final_archeology_005,archeology,semi_structured,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,cd461765844817d306d8f38330497c54139c4ab19c5a33061a39148af95c6ddc,1,1,1,1,1,1,1,1,1,1,1
final_archeology_006,archeology,semi_structured,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,52f681cb25b6a71aaece506ed4243f5e124af7d5dedfd14c794fa1ccc74be173,1,1,1,1,1,1,1,1,1,1,1
final_archeology_007,archeology,semi_structured,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,6ec2a5ab35ec1c9f9c62d062624f731a630c045633ba506349e739887f948a57,1,1,1,1,1,1,1,1,1,1,1
final_archeology_008,archeology,semi_structured,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,92a6aa8ae73660a5e40bb9fb543124754fcde910cb183bc1eae43df7e07ce60d,1,1,1,1,1,1,1,1,1,1,1
final_archeology_009,archeology,semi_structured,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,f42ca6af6cc06e47bb9812615b9072a9cbc69749cf7320053dc8532995c59849,1,1,1,1,1,1,1,1,1,1,1
final_archeology_010,archeology,semi_structured,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,16866fb78eb725db28e13b55f11834545c89f16328f72ac1ed548327e790d8a1,1,1,1,1,1,1,1,1,1,1,1
