from_variant,to_variant,input_type,samples,same_prompt,changed_prompt,changed_sample_ids
V0,V1,ALL,300,300,0,
V0,V1,free_text,60,60,0,
V0,V1,semi_structured,240,240,0,
V1,V2,ALL,300,300,0,
V1,V2,free_text,60,60,0,
V1,V2,semi_structured,240,240,0,
V2,V3,ALL,300,300,0,
V2,V3,free_text,60,60,0,
V2,V3,semi_structured,240,240,0,
V3,V4,ALL,300,261,39,final_archeology_011|final_archeology_012|final_archeology_025|final_archeology_026|final_archeology_027|final_archeology_040|final_archeology_042|final_archeology_055|final_polar_025|final_polar_026|final_polar_027|final_polar_040|final_polar_041|final_polar_042|final_polar_055|final_polar_056|final_polar_057|final_robot_010|final_robot_011|final_robot_012|final_robot_025|final_robot_026|final_robot_027|final_robot_040|final_robot_041|final_robot_042|final_robot_055|final_robot_056|final_robot_057|final_vaccine_011|final_vaccine_025|final_vaccine_026|final_vaccine_027|final_vaccine_040|final_virtual_010|final_virtual_012|final_virtual_025|final_virtual_026|final_virtual_040
V3,V4,free_text,60,60,0,
V3,V4,semi_structured,240,201,39,final_archeology_011|final_archeology_012|final_archeology_025|final_archeology_026|final_archeology_027|final_archeology_040|final_archeology_042|final_archeology_055|final_polar_025|final_polar_026|final_polar_027|final_polar_040|final_polar_041|final_polar_042|final_polar_055|final_polar_056|final_polar_057|final_robot_010|final_robot_011|final_robot_012|final_robot_025|final_robot_026|final_robot_027|final_robot_040|final_robot_041|final_robot_042|final_robot_055|final_robot_056|final_robot_057|final_vaccine_011|final_vaccine_025|final_vaccine_026|final_vaccine_027|final_vaccine_040|final_virtual_010|final_virtual_012|final_virtual_025|final_virtual_026|final_virtual_040
V4,V5,ALL,300,300,0,
V4,V5,free_text,60,60,0,
V4,V5,semi_structured,240,240,0,
V5,V6,ALL,300,300,0,
V5,V6,free_text,60,60,0,
V5,V6,semi_structured,240,240,0,
V6,V7,ALL,300,300,0,
V6,V7,free_text,60,60,0,
V6,V7,semi_structured,240,240,0,
V7,V8,ALL,300,300,0,
V7,V8,free_text,60,60,0,
V7,V8,semi_structured,240,240,0,
