sample_id,source_group,legacy_payload_hash,D_payload_hash,changed
aug_seed_000068_single_row_subset_002,seed_000068,0086eeb4080b7f01c19b34ef5e21ff166069775bd142fb0081ec5adbcc1609b9,0086eeb4080b7f01c19b34ef5e21ff166069775bd142fb0081ec5adbcc1609b9,0
seed_000231,seed_000231,933a579ddae7c2a5e10ca1848ea9ab9fd7e078233b7d1701eafa0858e71c6dfb,933a579ddae7c2a5e10ca1848ea9ab9fd7e078233b7d1701eafa0858e71c6dfb,0
seed_000005,seed_000005,29d2d690f48369a88257a0c0c390f3f67c79cb948861e35deecc13f4f642c09b,29d2d690f48369a88257a0c0c390f3f67c79cb948861e35deecc13f4f642c09b,0
aug_seed_000049_relational_format_variant_002,seed_000049,070761bc4c22fed67bf99d8e6601c93009d0545211d202b4e6b5e2505443117f,070761bc4c22fed67bf99d8e6601c93009d0545211d202b4e6b5e2505443117f,0
aug_seed_000292_single_row_subset_001,seed_000292,cdbccb0630316da6514ee492b23c58327e815118434c844cb33f4ee17071af4b,cdbccb0630316da6514ee492b23c58327e815118434c844cb33f4ee17071af4b,0
aug_seed_000349_relational_format_variant_002,seed_000349,5d8490fe565f0b3368724a590ec78e20954211515dcb0b1152e8336c227a2b19,5d8490fe565f0b3368724a590ec78e20954211515dcb0b1152e8336c227a2b19,0
seed_000110,seed_000110,85209b0d0fab6f5a14b962067412516fbea8dc0661d899fe2b4ac06c3c08468e,85209b0d0fab6f5a14b962067412516fbea8dc0661d899fe2b4ac06c3c08468e,0
aug_seed_000073_relational_format_variant_002,seed_000073,c8cb33b71cd5a4b9ef74fd1a71ed7924e4a8920cc3572a817bb075842000af59,c8cb33b71cd5a4b9ef74fd1a71ed7924e4a8920cc3572a817bb075842000af59,0
aug_seed_000054_small_batch_subset_001,seed_000054,d075cfd21f3d8fb43684013dc4ada32d76462ec0b28e7a13c99657a81904463d,d075cfd21f3d8fb43684013dc4ada32d76462ec0b28e7a13c99657a81904463d,0
seed_000302,seed_000302,215aa3d5b4be5751b1eb8500bc1d7d4ac716942aca7662ad49603cf17385a0e9,215aa3d5b4be5751b1eb8500bc1d7d4ac716942aca7662ad49603cf17385a0e9,0
aug_seed_000237_single_row_subset_001,seed_000237,f4b33d714fc86fe33a82a5a99cd0469509bb8419937a631abca5b598bfd1c435,f4b33d714fc86fe33a82a5a99cd0469509bb8419937a631abca5b598bfd1c435,0
aug_seed_000285_small_batch_subset_001,seed_000285,b6c358af13ea69570400c554ae296c84d188ff845a9a59c4908302dfec97a9ad,b6c358af13ea69570400c554ae296c84d188ff845a9a59c4908302dfec97a9ad,0
aug_seed_000356_small_batch_subset_001,seed_000356,e3a430df7989ee62f37cb3ea6fea6d8f66e1c41e3c3126a0f8c3c3fc9280e12e,e3a430df7989ee62f37cb3ea6fea6d8f66e1c41e3c3126a0f8c3c3fc9280e12e,0
seed_000002,seed_000002,db02e7a09e34a6f33bf5f5da558956652ce083f728723fcd4b78f40671d70928,db02e7a09e34a6f33bf5f5da558956652ce083f728723fcd4b78f40671d70928,0
seed_000190,seed_000190,4cad8ddb96ade23757e254343919d2e9a5dc3787ec1e9adc0576dbada0ae0b35,4cad8ddb96ade23757e254343919d2e9a5dc3787ec1e9adc0576dbada0ae0b35,0
aug_seed_000143_single_row_subset_001,seed_000143,267b575fa1ea3b9c0b3e2fcc931b1a5b6ae6b5d386d1f9db3decaa75c296c694,267b575fa1ea3b9c0b3e2fcc931b1a5b6ae6b5d386d1f9db3decaa75c296c694,0
aug_seed_000346_relational_format_variant_002,seed_000346,2e0b6027b6c519d29fa7c9581cc34d010b806d75a1a3bc27698ccbf654eaf572,2e0b6027b6c519d29fa7c9581cc34d010b806d75a1a3bc27698ccbf654eaf572,0
seed_000291,seed_000291,e441962db005e18d3754a71167014a5b21dfb3af24446084eae8f8e0871662f3,e441962db005e18d3754a71167014a5b21dfb3af24446084eae8f8e0871662f3,0
aug_seed_000017_small_batch_subset_001,seed_000017,c8884174397439abc2686ce8a67b704703f4c2d2ebd747149ee246dd1d2e07fe,c8884174397439abc2686ce8a67b704703f4c2d2ebd747149ee246dd1d2e07fe,0
seed_000261,seed_000261,732106262ac39bc1b181f453339179ed4b8d5e1bb2ebc104ecc1c3ec6d4c56c3,732106262ac39bc1b181f453339179ed4b8d5e1bb2ebc104ecc1c3ec6d4c56c3,0
aug_seed_000246_single_row_subset_001,seed_000246,c270aeb717c4dc24d63b8b3c9f6f0296a0f1088df565f4ed0cf24f5d5791a307,c270aeb717c4dc24d63b8b3c9f6f0296a0f1088df565f4ed0cf24f5d5791a307,0
aug_seed_000194_single_row_subset_001,seed_000194,48a89d4081e2e1520636fa415be330a9b6fd788684ec93b21145464392bfd210,48a89d4081e2e1520636fa415be330a9b6fd788684ec93b21145464392bfd210,0
aug_seed_000068_small_batch_subset_001,seed_000068,fceb3078c6404b920b04be76a2d15cc20d6a5f1dc0ed11e0977545b4dc259aef,fceb3078c6404b920b04be76a2d15cc20d6a5f1dc0ed11e0977545b4dc259aef,0
aug_seed_000183_small_batch_subset_001,seed_000183,1a7a0d5d30cb45de8ac51143cac8f616dc8b6a962f5f5d7b806cd0f425361b43,1a7a0d5d30cb45de8ac51143cac8f616dc8b6a962f5f5d7b806cd0f425361b43,0
seed_000201,seed_000201,227e96f6ab58f82e750c130780fc52535889f50d8781a33ac1f3defe866af088,227e96f6ab58f82e750c130780fc52535889f50d8781a33ac1f3defe866af088,0
seed_000044,seed_000044,81e1c8d3137a1a39720e63fb55a83ea1fb9c9d82758497c4881e30d60c7269c1,81e1c8d3137a1a39720e63fb55a83ea1fb9c9d82758497c4881e30d60c7269c1,0
aug_seed_000253_small_batch_subset_001,seed_000253,ea374a15e4010b529e33f805debccbc45b1ab2e6084bea8898978aa8abbd739d,ea374a15e4010b529e33f805debccbc45b1ab2e6084bea8898978aa8abbd739d,0
seed_000243,seed_000243,5d49068e7d8a35281c6a13d8dd234fe2f881e83bc0f4f41d4276dc1337c194f1,5d49068e7d8a35281c6a13d8dd234fe2f881e83bc0f4f41d4276dc1337c194f1,0
