sample_id,source_group,source_group_source,db_id,method_slug,method_label,method_id,generation_role,analysis_role,generation_arm,shares_raw_generation_with,prompt_sha256,prompt_char_count,prompt_utf8_bytes,prompt_token_count,prompt_token_count_policy,exact_token_count_required_on_gpu_preflight,context_overflow,detected_mode,detected_format,operation_type,dependency_sensitive,original_vs_vnext_prompt_equal,all_vnext_prompts_equal,detected_mode_consistent_across_vnext
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,direct,Direct,D-FS-M,generation,baseline,direct,,87c625a230bbc1dc66aeac4725c7132704ba7fae00758241dfb3ce830fb5d00a,7663,7663,1916,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,j_fs,J-FS,J-FS-M,generation,baseline,j_fs,,b851dc5f4f0e3f71dbc71a3f078811b921c9377e3e25d380ff20f492dc6d513b,7573,7573,1894,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,original_mp_fs_plus,Original MP-FS+,MP-FS+,deterministic_reprocess,primary_comparison_baseline,mp_fs_plus_shared,mp_fs_plus_shared,6e7573e8a965837dc3f7ce2fd9b9bfc49331f68002851307eb163af9c3c00e92,12837,12837,3210,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,d_g1_primary,MP-FS+ vNext D_G1,MP-FS+,deterministic_reprocess,primary,mp_fs_plus_shared,mp_fs_plus_shared,6e7573e8a965837dc3f7ce2fd9b9bfc49331f68002851307eb163af9c3c00e92,12837,12837,3210,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,d_only_secondary,MP-FS+ vNext D_ONLY,MP-FS+,deterministic_reprocess,secondary_ablation,mp_fs_plus_shared,mp_fs_plus_shared,6e7573e8a965837dc3f7ce2fd9b9bfc49331f68002851307eb163af9c3c00e92,12837,12837,3210,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,full_secondary,MP-FS+ vNext FULL,MP-FS+,deterministic_reprocess,secondary_ablation,mp_fs_plus_shared,mp_fs_plus_shared,6e7573e8a965837dc3f7ce2fd9b9bfc49331f68002851307eb163af9c3c00e92,12837,12837,3210,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
aug_seed_000068_single_row_subset_002,seed_000068,source_group_id,superhero,no_c_secondary,MP-FS+ vNext NO_C,MP-FS+,deterministic_reprocess,secondary_ablation,mp_fs_plus_shared,mp_fs_plus_shared,6e7573e8a965837dc3f7ce2fd9b9bfc49331f68002851307eb163af9c3c00e92,12837,12837,3210,ceil(utf8_bytes/4)_cpu_estimate,1,0,free_text,free_text,insert_ignore,0,1,1,1
seed_000231,seed_000231,source_group_id,california_schools,direct,Direct,D-FS-M,generation,baseline,direct,,b84e96db7034ad30b167ba6e64011681cc0f1502e604392f8e8d59aadd4c3743,15756,15756,3939,ceil(utf8_bytes/4)_cpu_estimate,1,0,semi_structured,csv,upsert_update,0,1,1,1
seed_000231,seed_000231,source_group_id,california_schools,j_fs,J-FS,J-FS-M,generation,baseline,j_fs,,8ba6be99c632e5f985835bf2f66f5c2aa613eca7f1111f448bf471e6d40f0a78,15687,15687,3922,ceil(utf8_bytes/4)_cpu_estimate,1,0,semi_structured,csv,upsert_update,0,1,1,1
seed_000231,seed_000231,source_group_id,california_schools,original_mp_fs_plus,Original MP-FS+,MP-FS+,deterministic_reprocess,primary_comparison_baseline,mp_fs_plus_shared,mp_fs_plus_shared,77cfe83c595f870777617d6764b99bfbe01070f01cd3174b644a675998fbf52f,20299,20299,5075,ceil(utf8_bytes/4)_cpu_estimate,1,0,semi_structured,csv,upsert_update,0,1,1,1
