sample_id,slot_path,reference_kind,repair_rule,repair_attempted,repair_applied,repair_succeeded,original_reference,replacement_reference,candidate_count,validation_before,validation_after
seed_000110,/target_groups/0/field_mapping/c1.f5,column,unique_exact_identifier_name,1,1,1,t8.operation,t8.c8,10,UNKNOWN_COLUMN_ID,PASS
seed_000110,/target_groups/0/field_mapping/c1.f6,column,unique_exact_identifier_name,1,1,1,t8.amount,t8.c3,10,UNKNOWN_COLUMN_ID,PASS
seed_000110,/target_groups/0/field_mapping/c1.f7,column,unique_exact_identifier_name,1,1,1,t8.balance,t8.c4,10,UNKNOWN_COLUMN_ID,PASS
seed_000110,/target_groups/0/field_mapping/c1.f8,column,unique_exact_identifier_name,1,1,1,t8.k_symbol,t8.c7,10,UNKNOWN_COLUMN_ID,PASS
seed_000319,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t9.race_id,t9.c9,12,UNKNOWN_COLUMN_ID,PASS
seed_000159,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t2.link_to_event,t2.c5,7,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t8.account_id,t8.c2,10,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f3,column,unique_exact_identifier_name,1,1,1,t8.date,t8.c6,10,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f4,column,unique_exact_identifier_name,1,1,1,t8.type,t8.c10,10,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f5,column,unique_exact_identifier_name,1,1,1,t8.operation,t8.c8,10,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f6,column,unique_exact_identifier_name,1,1,1,t8.amount,t8.c3,10,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f7,column,unique_exact_identifier_name,1,1,1,t8.balance,t8.c4,10,UNKNOWN_COLUMN_ID,PASS
seed_000235,/target_groups/0/field_mapping/c1.f8,column,unique_exact_identifier_name,1,1,1,t8.k_symbol,t8.c7,10,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t9.superhero_name,t9.c11,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t9.full_name,t9.c3,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f4,column,unique_exact_identifier_name,1,1,1,t9.gender_id,t9.c4,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f5,column,unique_exact_identifier_name,1,1,1,t9.eye_colour_id,t9.c2,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f6,column,unique_exact_identifier_name,1,1,1,t9.hair_colour_id,t9.c5,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f7,column,unique_exact_identifier_name,1,1,1,t9.skin_colour_id,t9.c10,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f8,column,unique_exact_identifier_name,1,1,1,t9.race_id,t9.c9,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f9,column,unique_exact_identifier_name,1,1,1,t9.publisher_id,t9.c8,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f10,column,unique_exact_identifier_name,1,1,1,t9.alignment_id,t9.c1,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f11,column,unique_exact_identifier_name,1,1,1,t9.height_cm,t9.c6,12,UNKNOWN_COLUMN_ID,PASS
seed_000165,/target_groups/0/field_mapping/c1.f12,column,unique_exact_identifier_name,1,1,1,t9.weight_kg,t9.c12,12,UNKNOWN_COLUMN_ID,PASS
seed_000307,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t3.home_team_api_id,t3.c88,115,UNKNOWN_COLUMN_ID,PASS
seed_000307,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t3.away_team_api_id,t3.c34,115,UNKNOWN_COLUMN_ID,PASS
seed_000185,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t6.major_id,t6.c3,4,UNKNOWN_COLUMN_ID,PASS
seed_000185,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t6.major_name,t6.c4,4,UNKNOWN_COLUMN_ID,PASS
seed_000185,/target_groups/0/field_mapping/c1.f3,column,unique_exact_identifier_name,1,1,1,t6.department,t6.c2,4,UNKNOWN_COLUMN_ID,PASS
seed_000185,/target_groups/0/field_mapping/c1.f4,column,unique_exact_identifier_name,1,1,1,t6.college,t6.c1,4,UNKNOWN_COLUMN_ID,PASS
seed_000288,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t3.client_id,t3.c2,4,UNKNOWN_COLUMN_ID,PASS
seed_000288,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t3.gender,t3.c4,4,UNKNOWN_COLUMN_ID,PASS
seed_000288,/target_groups/0/field_mapping/c1.f3,column,unique_exact_identifier_name,1,1,1,t3.birth_date,t3.c1,4,UNKNOWN_COLUMN_ID,PASS
seed_000288,/target_groups/0/field_mapping/c1.f4,column,unique_exact_identifier_name,1,1,1,t3.district_id,t3.c3,4,UNKNOWN_COLUMN_ID,PASS
seed_000334,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t3.client_id,t3.c2,4,UNKNOWN_COLUMN_ID,PASS
seed_000334,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t3.gender,t3.c4,4,UNKNOWN_COLUMN_ID,PASS
seed_000334,/target_groups/0/field_mapping/c1.f3,column,unique_exact_identifier_name,1,1,1,t3.birth_date,t3.c1,4,UNKNOWN_COLUMN_ID,PASS
seed_000334,/target_groups/0/field_mapping/c1.f4,column,unique_exact_identifier_name,1,1,1,t3.district_id,t3.c3,4,UNKNOWN_COLUMN_ID,PASS
