sample_id,F_attempt_count,F_exact_name_attempt_count,F_applied_exact_name_repair_count,F_materialized_exact_name_repair_count,D_G1_target_state_correct,ACTUAL_D_F_G1_target_state_correct,FULL_target_state_correct,D_G1_to_ACTUAL_D_F_G1,ACTUAL_D_F_G1_to_FULL,ACTUAL_D_F_G1_first_failure_stage,ACTUAL_D_F_G1_error_type
aug_seed_000014_single_row_subset_002,1,0,0,0,0,0,0,both_wrong,both_wrong,build,LOSSY_NORMALIZATION_REJECTED
aug_seed_000066_single_row_subset_002,1,0,0,0,0,0,0,both_wrong,both_wrong,build,LOSSY_NORMALIZATION_REJECTED
aug_seed_000181_single_row_subset_001,11,0,0,0,0,0,0,both_wrong,both_wrong,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING
aug_seed_000299_single_row_subset_001,1,0,0,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
aug_seed_000312_single_row_subset_001,1,0,0,0,0,0,0,both_wrong,both_wrong,build,LOSSY_NORMALIZATION_REJECTED
seed_000005,1,1,1,0,0,0,0,both_wrong,both_wrong,build,NEEDS_CLARIFICATION
seed_000010,9,8,8,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000044,4,3,0,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000069,1,1,1,0,0,0,0,both_wrong,both_wrong,build,NEEDS_CLARIFICATION
seed_000084,7,4,0,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000095,1,0,0,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000110,4,4,4,4,0,1,1,rescue,both_correct,none,
seed_000150,4,3,3,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000159,1,1,1,1,0,0,0,both_wrong,both_wrong,build,MISSING_REQUIRED_COLUMN
seed_000165,11,11,11,11,0,0,0,both_wrong,both_wrong,build,UNRESOLVED_SOURCE_FIELD
seed_000166,3,3,3,0,0,0,0,both_wrong,both_wrong,build,NEEDS_CLARIFICATION
seed_000185,4,4,4,4,0,1,1,rescue,both_correct,none,
seed_000208,3,2,0,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000219,3,3,3,0,0,0,0,both_wrong,both_wrong,build,NEEDS_CLARIFICATION
seed_000229,8,4,4,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000235,7,7,7,7,0,1,1,rescue,both_correct,none,
seed_000263,3,2,0,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000272,2,1,1,0,0,0,0,both_wrong,both_wrong,build,UNKNOWN_COLUMN_ID
seed_000288,4,4,4,4,0,1,1,rescue,both_correct,none,
seed_000307,2,2,2,2,0,0,0,both_wrong,both_wrong,build,UNRESOLVED_SOURCE_FIELD
seed_000319,1,1,1,1,0,0,0,both_wrong,both_wrong,build,UNRESOLVED_SOURCE_FIELD
seed_000334,4,4,4,4,0,1,1,rescue,both_correct,none,
