sample_id,D_G1_target_state_correct,ACTUAL_D_F_G1_target_state_correct,FULL_target_state_correct,D_G1_to_ACTUAL_D_F_G1,ACTUAL_D_F_G1_to_FULL,D_G1_first_failure_stage,ACTUAL_D_F_G1_first_failure_stage,FULL_first_failure_stage,D_G1_error_type,ACTUAL_D_F_G1_error_type,FULL_error_type,ACTUAL_D_F_G1_accepted_output,ACTUAL_D_F_G1_preflight_accepted,ACTUAL_D_F_G1_hit_max_new_tokens
aug_seed_000068_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000231,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000005,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000049_relational_format_variant_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000292_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,preflight,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,preflight_abstention,0,0,0
aug_seed_000349_relational_format_variant_002,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000110,0,1,1,rescue,both_correct,build,none,none,UNKNOWN_COLUMN_ID,,,1,1,0
aug_seed_000073_relational_format_variant_002,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000054_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,0,0,0
seed_000302,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000237_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000285_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000356_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,0,0,0
seed_000002,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
seed_000190,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000143_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000346_relational_format_variant_002,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000291,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000017_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,MISSING_UPDATE_COLUMN_IDS,0,0,0
seed_000261,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000246_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000194_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE,0,0,0
aug_seed_000068_small_batch_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000183_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,preflight,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,preflight_abstention,0,0,0
seed_000201,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000044,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000253_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000243,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000211_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000189,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000253_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000255_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000095,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000031_single_row_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
seed_000192,0,0,0,both_wrong,both_wrong,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,0,0,0
aug_seed_000241_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,preflight,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,preflight_abstention,0,0,0
aug_seed_000353_single_row_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
aug_seed_000013_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000316_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000338_relational_format_variant_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,TEMPORAL_EVIDENCE_SELECTION_INCOMPATIBLE,0,0,0
aug_seed_000199_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000285_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000269,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000202_relational_format_variant_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000146,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000073,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000014_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE,0,0,0
aug_seed_000254_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000166_single_row_subset_001,0,0,0,both_wrong,both_wrong,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state,1,1,0
seed_000100,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000356,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000167_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000187_single_row_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000153_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
seed_000037,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
seed_000319,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000168,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000259,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000065_single_row_subset_002,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
aug_seed_000215_small_batch_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000014_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNKNOWN_COLUMN_ID,0,0,0
aug_seed_000088_relational_format_variant_001,0,0,0,both_wrong,both_wrong,parse,parse,parse,parse_error,parse_error,parse_error,0,0,1
aug_seed_000321_small_batch_subset_001,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000191,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000159,0,0,0,both_wrong,both_wrong,build,build,build,UNKNOWN_COLUMN_ID,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000144_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000235,0,1,1,rescue,both_correct,build,none,none,UNKNOWN_COLUMN_ID,,,1,1,0
aug_seed_000312_single_row_subset_001,0,0,0,both_wrong,both_wrong,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNKNOWN_COLUMN_ID,0,0,0
seed_000048,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
seed_000289,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000159_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000107,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,0,0,0
aug_seed_000282_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000194_small_batch_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000076,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000002_relational_format_variant_003,0,0,0,both_wrong,both_wrong,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,0,0,0
aug_seed_000331_single_row_subset_001,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000275_relational_format_variant_003,0,0,0,both_wrong,both_wrong,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention,0,0,0
seed_000344,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000194,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
seed_000108,1,1,1,both_correct,both_correct,none,none,none,,,,1,1,0
aug_seed_000044_single_row_subset_002,0,0,0,both_wrong,both_wrong,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,0,0,0
