sample_id,source_artifact,trace_path,slot_path,reference_kind,repair_rule,repair_attempted,repair_applied,repair_succeeded,original_reference,replacement_reference,candidate_count,candidate_set,validation_before,validation_after
seed_000005,verification.jsonl,/warnings/0/details,/target_groups/0/field_mapping/c1.f7,column,unique_exact_identifier_name,1,1,1,t8.operation,t8.c8,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000110,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/0,/target_groups/0/field_mapping/c1.f5,column,unique_exact_identifier_name,1,1,1,t8.operation,t8.c8,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000110,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/1,/target_groups/0/field_mapping/c1.f6,column,unique_exact_identifier_name,1,1,1,t8.amount,t8.c3,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000110,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/2,/target_groups/0/field_mapping/c1.f7,column,unique_exact_identifier_name,1,1,1,t8.balance,t8.c4,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000110,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/3,/target_groups/0/field_mapping/c1.f8,column,unique_exact_identifier_name,1,1,1,t8.k_symbol,t8.c7,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000319,verification.jsonl,/warnings/0/details,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t9.race_id,t9.c9,12,"[""t9.c1"", ""t9.c10"", ""t9.c11"", ""t9.c12"", ""t9.c2"", ""t9.c3"", ""t9.c4"", ""t9.c5"", ""t9.c6"", ""t9.c7"", ""t9.c8"", ""t9.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000159,verification.jsonl,/warnings/0/details,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t2.link_to_event,t2.c5,7,"[""t2.c1"", ""t2.c2"", ""t2.c3"", ""t2.c4"", ""t2.c5"", ""t2.c6"", ""t2.c7""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/0,/target_groups/0/field_mapping/c1.f2,column,unique_exact_identifier_name,1,1,1,t8.account_id,t8.c2,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/1,/target_groups/0/field_mapping/c1.f3,column,unique_exact_identifier_name,1,1,1,t8.date,t8.c6,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/2,/target_groups/0/field_mapping/c1.f4,column,unique_exact_identifier_name,1,1,1,t8.type,t8.c10,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/3,/target_groups/0/field_mapping/c1.f5,column,unique_exact_identifier_name,1,1,1,t8.operation,t8.c8,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/4,/target_groups/0/field_mapping/c1.f6,column,unique_exact_identifier_name,1,1,1,t8.amount,t8.c3,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/5,/target_groups/0/field_mapping/c1.f7,column,unique_exact_identifier_name,1,1,1,t8.balance,t8.c4,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000235,verification.jsonl,/normalized_plan/write_groups/0/reference_trace/constrained_reference_repairs/6,/target_groups/0/field_mapping/c1.f8,column,unique_exact_identifier_name,1,1,1,t8.k_symbol,t8.c7,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000166,verification.jsonl,/warnings/0/details,/target_groups/0/field_mapping/c1.f8,column,unique_exact_identifier_name,1,1,1,t8.k_symbol,t8.c7,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000166,verification.jsonl,/warnings/1/details,/target_groups/0/field_mapping/c1.f9,column,unique_exact_identifier_name,1,1,1,t8.bank,t8.c5,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000166,verification.jsonl,/warnings/2/details,/target_groups/0/field_mapping/c1.f10,column,unique_exact_identifier_name,1,1,1,t8.account,t8.c1,10,"[""t8.c1"", ""t8.c10"", ""t8.c2"", ""t8.c3"", ""t8.c4"", ""t8.c5"", ""t8.c6"", ""t8.c7"", ""t8.c8"", ""t8.c9""]",UNKNOWN_COLUMN_ID,PASS
seed_000069,verification.jsonl,/warnings/0/details,/target_groups/0/field_mapping/c1.f1,column,unique_exact_identifier_name,1,1,1,t1.district_id,t1.c3,4,"[""t1.c1"", ""t1.c2"", ""t1.c3"", ""t1.c4""]",UNKNOWN_COLUMN_ID,PASS
