sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,first_failure_stage,error_type,error_family,preflight_rejection_reason,accepted_output,false_accept,hit_max_new_tokens,output_tokens,input_tokens
aug_seed_000068_single_row_subset_002,seed_000068,superhero,free_text,insert_ignore,0,build,MISSING_UPDATE_COLUMN_IDS,missing_write_semantics,,0,0,0,169,3859
seed_000231,seed_000231,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,230,6992
seed_000005,seed_000005,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,200,5824
aug_seed_000292_single_row_subset_001,seed_000292,european_football_2,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,288,13000
aug_seed_000349_relational_format_variant_002,seed_000349,debit_card_specializing,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,153,2795
seed_000110,seed_000110,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,209,5973
aug_seed_000054_small_batch_subset_001,seed_000054,card_games,free_text,insert_ignore,0,build,UNKNOWN_EVIDENCE_ID,schema_reference_grounding,,0,0,0,1593,9515
seed_000302,seed_000302,card_games,semi_structured,upsert_update,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,195,5924
aug_seed_000356_small_batch_subset_001,seed_000356,financial,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,1477,12213
seed_000002,seed_000002,debit_card_specializing,semi_structured,insert_ignore,1,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,154,3198
seed_000190,seed_000190,student_club,semi_structured,plain_insert,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,228,3088
aug_seed_000346_relational_format_variant_002,seed_000346,codebase_community,semi_structured,insert_ignore,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,120,5579
seed_000291,seed_000291,california_schools,semi_structured,upsert_update,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,294,5001
aug_seed_000017_small_batch_subset_001,seed_000017,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,543,6917
seed_000261,seed_000261,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,154,2172
aug_seed_000194_single_row_subset_001,seed_000194,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,272,5241
aug_seed_000068_small_batch_subset_001,seed_000068,superhero,free_text,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,289,3974
aug_seed_000183_small_batch_subset_001,seed_000183,european_football_2,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,612,15519
seed_000201,seed_000201,formula_1,semi_structured,plain_insert,0,preflight,preflight_abstention,preflight_rejection,type_or_datatype,0,0,0,159,6989
seed_000044,seed_000044,superhero,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,238,4465
aug_seed_000253_small_batch_subset_001,seed_000253,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,152,2207
seed_000243,seed_000243,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,187,3006
aug_seed_000253_single_row_subset_001,seed_000253,formula_1,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,185,6596
seed_000095,seed_000095,superhero,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,178,4086
aug_seed_000031_single_row_subset_001,seed_000031,student_club,free_text,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,219,4879
seed_000192,seed_000192,financial,semi_structured,plain_insert,0,build,NEEDS_CLARIFICATION,ambiguity_or_insufficient_information,,0,0,0,156,4726
aug_seed_000241_single_row_subset_001,seed_000241,european_football_2,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,231,11774
aug_seed_000353_single_row_subset_001,seed_000353,student_club,free_text,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,280,4543
aug_seed_000013_single_row_subset_001,seed_000013,european_football_2,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,semantic_risk_gate,0,0,0,261,11239
aug_seed_000316_small_batch_subset_001,seed_000316,student_club,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,120,2110
aug_seed_000338_relational_format_variant_001,seed_000338,financial,free_text,plain_insert,1,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,1106,9279
aug_seed_000202_relational_format_variant_001,seed_000202,student_club,free_text,insert_ignore,1,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,403,14309
seed_000146,seed_000146,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,187,2759
seed_000073,seed_000073,superhero,semi_structured,plain_insert,1,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,147,4151
aug_seed_000014_small_batch_subset_001,seed_000014,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,539,8123
aug_seed_000254_single_row_subset_001,seed_000254,debit_card_specializing,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,163,2509
aug_seed_000166_single_row_subset_001,seed_000166,financial,semi_structured,insert_ignore,0,state_mismatch,wrong_state,accepted_state_mismatch,,1,1,0,226,3963
seed_000356,seed_000356,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,302,4474
aug_seed_000187_single_row_subset_001,seed_000187,student_club,free_text,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,foreign_key,0,0,0,310,5143
aug_seed_000153_relational_format_variant_001,seed_000153,toxicology,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,12007
seed_000037,seed_000037,california_schools,semi_structured,upsert_update,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,205,6458
seed_000319,seed_000319,superhero,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,121,3801
seed_000259,seed_000259,financial,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,301,4468
aug_seed_000065_single_row_subset_002,seed_000065,formula_1,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,197,3069
aug_seed_000215_small_batch_subset_001,seed_000215,student_club,free_text,insert_ignore,0,build,MISSING_REQUIRED_COLUMN,missing_write_semantics,,0,0,0,280,4300
aug_seed_000014_single_row_subset_002,seed_000014,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,336,5776
aug_seed_000088_relational_format_variant_001,seed_000088,thrombosis_prediction,free_text,insert_ignore,1,parse,parse_error,output_length,,0,0,1,4096,14033
aug_seed_000321_small_batch_subset_001,seed_000321,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,174,2303
seed_000191,seed_000191,debit_card_specializing,semi_structured,insert_ignore,0,preflight,preflight_abstention,preflight_rejection,unique_constraint,0,0,0,173,2362
seed_000159,seed_000159,student_club,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,155,4319
seed_000235,seed_000235,financial,semi_structured,plain_insert,0,build,UNKNOWN_COLUMN_ID,schema_reference_grounding,,0,0,0,206,5974
aug_seed_000312_single_row_subset_001,seed_000312,student_club,free_text,insert_ignore,0,build,LOSSY_NORMALIZATION_REJECTED,normalization,,0,0,0,336,5625
seed_000048,seed_000048,formula_1,semi_structured,plain_insert,0,build,UNRESOLVED_SOURCE_FIELD,source_field_grounding,,0,0,0,122,7204
