error_family,error_type,first_failure_stage,input_type,operation_type,db_id,dependency_sensitive,count,rate_among_d_g1_failures
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,financial,0,11,0.05472636815920398
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,debit_card_specializing,0,10,0.04975124378109453
normalization,LOSSY_NORMALIZATION_REJECTED,build,free_text,insert_ignore,student_club,0,9,0.04477611940298507
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,plain_insert,financial,0,9,0.04477611940298507
missing_write_semantics,MISSING_REQUIRED_COLUMN,build,semi_structured,upsert_update,california_schools,0,7,0.03482587064676617
missing_write_semantics,MISSING_UPDATE_COLUMN_IDS,build,free_text,insert_ignore,superhero,0,7,0.03482587064676617
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,formula_1,0,7,0.03482587064676617
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,formula_1,0,6,0.029850746268656716
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,superhero,0,6,0.029850746268656716
ambiguity_or_insufficient_information,NEEDS_CLARIFICATION,build,semi_structured,plain_insert,financial,0,5,0.024875621890547265
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,financial,0,5,0.024875621890547265
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,plain_insert,superhero,0,5,0.024875621890547265
normalization,LOSSY_NORMALIZATION_REJECTED,build,free_text,insert_ignore,european_football_2,0,4,0.01990049751243781
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,debit_card_specializing,0,4,0.01990049751243781
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,student_club,1,4,0.01990049751243781
build_or_materialization,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,build,free_text,insert_ignore,financial,0,3,0.014925373134328358
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,toxicology,1,3,0.014925373134328358
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,european_football_2,0,3,0.014925373134328358
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,student_club,0,3,0.014925373134328358
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,toxicology,1,3,0.014925373134328358
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,upsert_update,california_schools,0,3,0.014925373134328358
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,insert_ignore,debit_card_specializing,1,3,0.014925373134328358
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,formula_1,0,3,0.014925373134328358
accepted_state_mismatch,wrong_state,state_mismatch,free_text,insert_ignore,student_club,0,2,0.009950248756218905
accepted_state_mismatch,wrong_state,state_mismatch,semi_structured,plain_insert,debit_card_specializing,0,2,0.009950248756218905
accepted_state_mismatch,wrong_state,state_mismatch,semi_structured,upsert_update,card_games,0,2,0.009950248756218905
missing_write_semantics,MISSING_REQUIRED_COLUMN,build,free_text,insert_ignore,financial,0,2,0.009950248756218905
normalization,LOSSY_NORMALIZATION_REJECTED,build,free_text,insert_ignore,financial,0,2,0.009950248756218905
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,codebase_community,1,2,0.009950248756218905
preflight_rejection,preflight_abstention,preflight,semi_structured,upsert_update,california_schools,0,2,0.009950248756218905
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,plain_insert,student_club,0,2,0.009950248756218905
schema_reference_grounding,UNKNOWN_EVIDENCE_ID,build,free_text,insert_ignore,financial,0,2,0.009950248756218905
schema_reference_grounding,UNKNOWN_EVIDENCE_ID,build,free_text,insert_ignore,student_club,0,2,0.009950248756218905
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,insert_ignore,codebase_community,1,2,0.009950248756218905
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,insert_ignore,toxicology,1,2,0.009950248756218905
accepted_state_mismatch,wrong_state,state_mismatch,free_text,insert_ignore,card_games,0,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,free_text,insert_ignore,debit_card_specializing,0,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,free_text,insert_ignore,financial,0,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,free_text,insert_ignore,superhero,0,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,semi_structured,insert_ignore,financial,0,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,semi_structured,insert_ignore,thrombosis_prediction,1,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,semi_structured,plain_insert,student_club,0,1,0.004975124378109453
accepted_state_mismatch,wrong_state,state_mismatch,semi_structured,upsert_update,student_club,0,1,0.004975124378109453
ambiguity_or_insufficient_information,NEEDS_CLARIFICATION,build,free_text,insert_ignore,toxicology,1,1,0.004975124378109453
ambiguity_or_insufficient_information,NEEDS_CLARIFICATION,build,semi_structured,insert_ignore,debit_card_specializing,1,1,0.004975124378109453
ambiguity_or_insufficient_information,NEEDS_CLARIFICATION,build,semi_structured,plain_insert,student_club,0,1,0.004975124378109453
ambiguity_or_insufficient_information,NEEDS_CLARIFICATION,build,semi_structured,upsert_update,card_games,0,1,0.004975124378109453
build_or_materialization,MISSING_UPDATE_COLUMNS,build,free_text,insert_ignore,codebase_community,0,1,0.004975124378109453
build_or_materialization,UNKNOWN_CONSTRAINT_ID,build,free_text,insert_ignore,european_football_2,0,1,0.004975124378109453
build_or_materialization,UNKNOWN_CONSTRAINT_ID,build,free_text,insert_ignore,superhero,0,1,0.004975124378109453
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,codebase_community,1,1,0.004975124378109453
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,debit_card_specializing,0,1,0.004975124378109453
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,debit_card_specializing,1,1,0.004975124378109453
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,european_football_2,1,1,0.004975124378109453
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,formula_1,0,1,0.004975124378109453
max_token_hit_associated,parse_error,parse,free_text,insert_ignore,thrombosis_prediction,1,1,0.004975124378109453
missing_write_semantics,MISSING_REQUIRED_COLUMN,build,free_text,insert_ignore,student_club,0,1,0.004975124378109453
missing_write_semantics,MISSING_REQUIRED_COLUMN,build,free_text,insert_ignore,student_club,1,1,0.004975124378109453
missing_write_semantics,MISSING_REQUIRED_COLUMN,build,semi_structured,plain_insert,card_games,0,1,0.004975124378109453
missing_write_semantics,MISSING_REQUIRED_COLUMN,build,semi_structured,plain_insert,financial,0,1,0.004975124378109453
missing_write_semantics,MISSING_UPDATE_COLUMN_IDS,build,free_text,insert_ignore,card_games,0,1,0.004975124378109453
missing_write_semantics,MISSING_UPDATE_COLUMN_IDS,build,free_text,insert_ignore,debit_card_specializing,0,1,0.004975124378109453
missing_write_semantics,MISSING_UPDATE_COLUMN_IDS,build,free_text,insert_ignore,financial,0,1,0.004975124378109453
missing_write_semantics,MISSING_UPDATE_COLUMN_IDS,build,free_text,insert_ignore,formula_1,0,1,0.004975124378109453
missing_write_semantics,MISSING_UPDATE_COLUMN_IDS,build,free_text,insert_ignore,thrombosis_prediction,0,1,0.004975124378109453
normalization,LOSSY_NORMALIZATION_REJECTED,build,free_text,insert_ignore,codebase_community,0,1,0.004975124378109453
normalization,LOSSY_NORMALIZATION_REJECTED,build,free_text,plain_insert,california_schools,1,1,0.004975124378109453
normalization,LOSSY_NORMALIZATION_REJECTED,build,free_text,plain_insert,financial,1,1,0.004975124378109453
parse_or_format,parse_error,parse,semi_structured,upsert_update,california_schools,0,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,european_football_2,1,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,student_club,0,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,student_club,1,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,free_text,insert_ignore,toxicology,1,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,free_text,plain_insert,codebase_community,0,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,semi_structured,insert_ignore,european_football_2,1,1,0.004975124378109453
preflight_rejection,preflight_abstention,preflight,semi_structured,plain_insert,formula_1,0,1,0.004975124378109453
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,free_text,insert_ignore,formula_1,0,1,0.004975124378109453
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,plain_insert,card_games,0,1,0.004975124378109453
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,plain_insert,european_football_2,0,1,0.004975124378109453
schema_reference_grounding,UNKNOWN_COLUMN_ID,build,semi_structured,plain_insert,superhero,1,1,0.004975124378109453
schema_reference_grounding,UNKNOWN_EVIDENCE_ID,build,free_text,insert_ignore,card_games,0,1,0.004975124378109453
schema_reference_grounding,UNKNOWN_EVIDENCE_ID,build,free_text,upsert_update,card_games,0,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,insert_ignore,debit_card_specializing,0,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,codebase_community,0,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,debit_card_specializing,0,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,european_football_2,0,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,superhero,1,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,plain_insert,toxicology,0,1,0.004975124378109453
source_field_grounding,UNRESOLVED_SOURCE_FIELD,build,semi_structured,upsert_update,codebase_community,0,1,0.004975124378109453
