sample_id,repair_rule,reference_kind,slot_path,original_reference,replacement_reference,candidate_count,candidate_set,repair_attempted,repair_applied,repair_succeeded,validation_before,validation_after
seed_000110,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f5,t8.operation,t8.c8,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000110,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f6,t8.amount,t8.c3,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000110,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f7,t8.balance,t8.c4,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000110,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f8,t8.k_symbol,t8.c7,10,t8.c1|t8.c10|t8.c2|t8.c3|t8.c4|t8.c5|t8.c6|t8.c7|t8.c8|t8.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000159,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t2.link_to_event,t2.c5,7,t2.c1|t2.c2|t2.c3|t2.c4|t2.c5|t2.c6|t2.c7,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f1,t9.superhero_name,t9.c11,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f10,t9.alignment_id,t9.c1,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f11,t9.height_cm,t9.c6,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f12,t9.weight_kg,t9.c12,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
seed_000165,unique_exact_identifier_name,column,/target_groups/0/field_mapping/c1.f2,t9.full_name,t9.c3,12,t9.c1|t9.c10|t9.c11|t9.c12|t9.c2|t9.c3|t9.c4|t9.c5|t9.c6|t9.c7|t9.c8|t9.c9,1,1,1,UNKNOWN_COLUMN_ID,PASS
