error_family,dependency_sensitive,count,rate_among_d_g1_failures
preflight_rejection,0,54,0.26865671641791045
schema_reference_grounding,0,28,0.13930348258706468
missing_write_semantics,0,24,0.11940298507462686
normalization,0,16,0.07960199004975124
source_field_grounding,0,15,0.07462686567164178
accepted_state_mismatch,0,13,0.06467661691542288
preflight_rejection,1,13,0.06467661691542288
source_field_grounding,1,8,0.03980099502487562
ambiguity_or_insufficient_information,0,7,0.03482587064676617
max_token_hit_associated,1,7,0.03482587064676617
build_or_materialization,0,6,0.029850746268656716
ambiguity_or_insufficient_information,1,2,0.009950248756218905
max_token_hit_associated,0,2,0.009950248756218905
normalization,1,2,0.009950248756218905
accepted_state_mismatch,1,1,0.004975124378109453
missing_write_semantics,1,1,0.004975124378109453
parse_or_format,0,1,0.004975124378109453
schema_reference_grounding,1,1,0.004975124378109453
