error_family,operation_type,count,rate_among_d_g1_failures
preflight_rejection,insert_ignore,63,0.31343283582089554
schema_reference_grounding,plain_insert,19,0.0945273631840796
missing_write_semantics,insert_ignore,16,0.07960199004975124
normalization,insert_ignore,16,0.07960199004975124
source_field_grounding,plain_insert,14,0.06965174129353234
output_length,insert_ignore,9,0.04477611940298507
accepted_state_mismatch,insert_ignore,8,0.03980099502487562
source_field_grounding,insert_ignore,8,0.03980099502487562
missing_write_semantics,upsert_update,7,0.03482587064676617
ambiguity_or_insufficient_information,plain_insert,6,0.029850746268656716
build_or_materialization,insert_ignore,6,0.029850746268656716
schema_reference_grounding,insert_ignore,6,0.029850746268656716
schema_reference_grounding,upsert_update,4,0.01990049751243781
accepted_state_mismatch,plain_insert,3,0.014925373134328358
accepted_state_mismatch,upsert_update,3,0.014925373134328358
ambiguity_or_insufficient_information,insert_ignore,2,0.009950248756218905
missing_write_semantics,plain_insert,2,0.009950248756218905
normalization,plain_insert,2,0.009950248756218905
preflight_rejection,plain_insert,2,0.009950248756218905
preflight_rejection,upsert_update,2,0.009950248756218905
ambiguity_or_insufficient_information,upsert_update,1,0.004975124378109453
parse_or_format,upsert_update,1,0.004975124378109453
source_field_grounding,upsert_update,1,0.004975124378109453
