sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,preflight_rejection_reason,error_type
seed_000291,seed_000291,california_schools,semi_structured,upsert_update,0,unique_constraint,preflight_abstention
seed_000261,seed_000261,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000201,seed_000201,formula_1,semi_structured,plain_insert,0,type_or_datatype,preflight_abstention
aug_seed_000253_small_batch_subset_001,seed_000253,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000243,seed_000243,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000253_single_row_subset_001,seed_000253,formula_1,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000013_single_row_subset_001,seed_000013,european_football_2,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000316_small_batch_subset_001,seed_000316,student_club,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000146,seed_000146,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000254_single_row_subset_001,seed_000254,debit_card_specializing,free_text,insert_ignore,0,unique_constraint,preflight_abstention
seed_000356,seed_000356,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000187_single_row_subset_001,seed_000187,student_club,free_text,insert_ignore,0,foreign_key,preflight_abstention
seed_000259,seed_000259,financial,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000065_single_row_subset_002,seed_000065,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000321_small_batch_subset_001,seed_000321,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
seed_000191,seed_000191,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000275_relational_format_variant_003,seed_000275,student_club,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
seed_000065,seed_000065,formula_1,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000203_small_batch_subset_001,seed_000203,financial,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000162_relational_format_variant_002,seed_000162,codebase_community,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
aug_seed_000048_single_row_subset_002,seed_000048,formula_1,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000335_small_batch_subset_001,seed_000335,debit_card_specializing,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
aug_seed_000238_small_batch_subset_001,seed_000238,debit_card_specializing,semi_structured,insert_ignore,0,unique_constraint,preflight_abstention
aug_seed_000202_relational_format_variant_003,seed_000202,student_club,semi_structured,insert_ignore,1,unique_constraint,preflight_abstention
aug_seed_000261_small_batch_subset_001,seed_000261,debit_card_specializing,free_text,insert_ignore,0,semantic_risk_gate,preflight_abstention
