method_slug,first_failure_stage,count,rate
direct,execution,137,0.45666666666666667
direct,none,157,0.5233333333333333
direct,state_mismatch,6,0.02
j_fs,build,49,0.16333333333333333
j_fs,execution,66,0.22
j_fs,none,169,0.5633333333333334
j_fs,parse,1,0.0033333333333333335
j_fs,state_mismatch,15,0.05
original_mp_fs_plus,build,110,0.36666666666666664
original_mp_fs_plus,none,99,0.33
original_mp_fs_plus,parse,10,0.03333333333333333
original_mp_fs_plus,preflight,67,0.22333333333333333
original_mp_fs_plus,state_mismatch,14,0.04666666666666667
d_g1_primary,build,110,0.36666666666666664
d_g1_primary,none,99,0.33
d_g1_primary,parse,10,0.03333333333333333
d_g1_primary,preflight,67,0.22333333333333333
d_g1_primary,state_mismatch,14,0.04666666666666667
d_only_secondary,build,110,0.36666666666666664
d_only_secondary,none,99,0.33
d_only_secondary,parse,10,0.03333333333333333
d_only_secondary,preflight,67,0.22333333333333333
d_only_secondary,state_mismatch,14,0.04666666666666667
full_secondary,build,102,0.34
full_secondary,none,104,0.3466666666666667
full_secondary,parse,10,0.03333333333333333
full_secondary,preflight,70,0.23333333333333334
full_secondary,state_mismatch,14,0.04666666666666667
no_c_secondary,build,102,0.34
no_c_secondary,none,104,0.3466666666666667
no_c_secondary,parse,10,0.03333333333333333
no_c_secondary,preflight,70,0.23333333333333334
no_c_secondary,state_mismatch,14,0.04666666666666667
