sample_id,source_group,db_id,input_type,operation_type,dependency_sensitive,method,method_slug,target_state_correct,strict_full_state_correct,accepted,execution_success,first_failure_stage,false_accept,constraint_failure,off_target_state_change,generation_status,input_truncated,hit_max_new_tokens,error_type,D_activated,G1_repair_attempted,G1_repair_applied,G1_repair_succeeded,G1_repair_rules
aug_seed_000068_single_row_subset_002,seed_000068,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000231,seed_000231,california_schools,semi_structured,upsert_update,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000005,seed_000005,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000049_relational_format_variant_002,seed_000049,debit_card_specializing,semi_structured,plain_insert,1,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000292_single_row_subset_001,seed_000292,european_football_2,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000349_relational_format_variant_002,seed_000349,debit_card_specializing,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000110,seed_000110,financial,semi_structured,plain_insert,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000073_relational_format_variant_002,seed_000073,superhero,semi_structured,plain_insert,1,direct,direct,0,0,1,1,state_mismatch,1,0,0,success,0,0,wrong_state,0,0,0,0,
aug_seed_000054_small_batch_subset_001,seed_000054,card_games,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000302,seed_000302,card_games,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,1,execution_error,0,0,0,0,
aug_seed_000237_single_row_subset_001,seed_000237,student_club,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000285_small_batch_subset_001,seed_000285,student_club,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000356_small_batch_subset_001,seed_000356,financial,free_text,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000002,seed_000002,debit_card_specializing,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000190,seed_000190,student_club,semi_structured,plain_insert,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000143_single_row_subset_001,seed_000143,financial,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000346_relational_format_variant_002,seed_000346,codebase_community,semi_structured,insert_ignore,1,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
seed_000291,seed_000291,california_schools,semi_structured,upsert_update,0,direct,direct,0,0,1,0,execution,1,0,0,success,0,1,execution_error,0,0,0,0,
aug_seed_000017_small_batch_subset_001,seed_000017,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
seed_000261,seed_000261,debit_card_specializing,semi_structured,insert_ignore,0,direct,direct,0,0,1,0,execution,1,1,0,success,0,0,execution_error,0,0,0,0,
aug_seed_000246_single_row_subset_001,seed_000246,financial,semi_structured,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000194_single_row_subset_001,seed_000194,student_club,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000068_small_batch_subset_001,seed_000068,superhero,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
aug_seed_000183_small_batch_subset_001,seed_000183,european_football_2,free_text,insert_ignore,0,direct,direct,1,1,1,1,none,0,0,0,success,0,0,,0,0,0,0,
