method_slug,subgroup_type,subgroup_value,n,target_state_accuracy,strict_full_state_accuracy,coverage,accepted_output_accuracy,false_accept_count
direct,input_type,free_text,111,0.6306306306306306,0.6306306306306306,1.0,0.6306306306306306,41
direct,input_type,semi_structured,189,0.4603174603174603,0.4603174603174603,1.0,0.4603174603174603,102
direct,operation_type,insert_ignore,198,0.5202020202020202,0.5202020202020202,1.0,0.5202020202020202,95
direct,operation_type,plain_insert,77,0.6363636363636364,0.6363636363636364,1.0,0.6363636363636364,28
direct,operation_type,upsert_update,25,0.2,0.2,1.0,0.2,20
direct,database,california_schools,17,0.29411764705882354,0.29411764705882354,1.0,0.29411764705882354,12
direct,database,card_games,12,0.25,0.25,1.0,0.25,9
direct,database,codebase_community,12,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,8
direct,database,debit_card_specializing,36,0.3611111111111111,0.3611111111111111,1.0,0.3611111111111111,23
direct,database,european_football_2,31,0.8387096774193549,0.8387096774193549,1.0,0.8387096774193549,5
direct,database,financial,62,0.41935483870967744,0.41935483870967744,1.0,0.41935483870967744,36
direct,database,formula_1,22,0.2727272727272727,0.2727272727272727,1.0,0.2727272727272727,16
direct,database,student_club,55,0.7454545454545455,0.7454545454545455,1.0,0.7454545454545455,14
direct,database,superhero,36,0.8611111111111112,0.8611111111111112,1.0,0.8611111111111112,5
direct,database,thrombosis_prediction,5,0.2,0.2,1.0,0.2,4
direct,database,toxicology,12,0.08333333333333333,0.08333333333333333,1.0,0.08333333333333333,11
direct,dependency_sensitive,0,259,0.583011583011583,0.583011583011583,1.0,0.583011583011583,108
direct,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,1.0,0.14634146341463414,35
j_fs,input_type,free_text,111,0.6576576576576577,0.6576576576576577,0.9099099099099099,0.7227722772277227,28
j_fs,input_type,semi_structured,189,0.5079365079365079,0.5079365079365079,0.7883597883597884,0.6442953020134228,53
j_fs,operation_type,insert_ignore,198,0.5454545454545454,0.5454545454545454,0.8737373737373737,0.6242774566473989,65
j_fs,operation_type,plain_insert,77,0.7272727272727273,0.7272727272727273,0.8571428571428571,0.8484848484848485,10
j_fs,operation_type,upsert_update,25,0.2,0.2,0.44,0.45454545454545453,6
j_fs,database,california_schools,17,0.35294117647058826,0.35294117647058826,0.47058823529411764,0.75,2
j_fs,database,card_games,12,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5714285714285714,3
j_fs,database,codebase_community,12,0.3333333333333333,0.3333333333333333,0.75,0.4444444444444444,5
j_fs,database,debit_card_specializing,36,0.3611111111111111,0.3611111111111111,0.8611111111111112,0.41935483870967744,18
j_fs,database,european_football_2,31,0.8064516129032258,0.8064516129032258,0.8709677419354839,0.9259259259259259,2
