stage6_sample_id	upstream_sample_locator	corrected_authored_content_sha256	decision	notes	reviewed_by
stage6_crudsql_0000	crudsql:test:0584:a7d29bf33b0611e9a963f40f24344a08:df804272cb4d1949	01e289ba6fd16d2a26c9311ecb39061ec981ee78796d8087af2ac1d92312f11a			C02
stage6_crudsql_0014	crudsql:test:0598:a84b9b1c3b0611e983c1f40f24344a08:d755a2ebde0671e9	fa9b3449f8c6835110e4c1b8df0bbaa70aeb89b3c6a7854a837891c355429fe4			C02
stage6_crudsql_0070	crudsql:test:0654:f3263a70453d11e98d96f40f24344a08:6560f1f9f81116d4	12523008a5cf3b972bcbda6b2fba41ff17079f89ea027f83f879609f614e03e6			C02
stage6_crudsql_0076	crudsql:test:0660:f5316ef0453d11e9b6ccf40f24344a08:564cfa318f7cae2a	2201f07979e0b37c72c9e8b773d9d535172dc18e1d9673b6930c721c8d323c70			C02
stage6_crudsql_0077	crudsql:test:0661:f5316ef0453d11e9b6ccf40f24344a08:2c3fb5b9c8459962	dbbc452c4bd8929f8458dee6485a00134e511bda5e247fca8de583a2564209e0			C02
stage6_crudsql_0078	crudsql:test:0662:f5316ef0453d11e9b6ccf40f24344a08:6a1434f0aeb3e2c1	af0a9729b130d77bfd5a397176fd824c4be77f883c7a43850dd8be9b9003ea9b			C02
stage6_crudsql_0079	crudsql:test:0663:f5316ef0453d11e9b6ccf40f24344a08:fe2bd3222ffc162d	a086aa497868cabc99a6d4abb8ee1af647184bf95858f20ce802add204ae350f			C02
stage6_crudsql_0085	crudsql:test:0669:4d258f803aaa11e9af1cf40f24344a08:7865853b25424fc1	3943c5e7217132e0807931e86b7f223b84a95be06115a2d482299e2a75e5865f			C02
stage6_crudsql_0109	crudsql:test:0693:a846c2d73b0611e99c8df40f24344a08:0bf2b030d598b16c	9c8c81e933dcd193f435c87dd18fb3168ef85af33cfcd5d2c3605bae508e7645			C02
stage6_crudsql_0158	crudsql:test:0742:4d2664ee3aaa11e9bb29f40f24344a08:5832290bcc1dc069	1d4ff893b41b17292f4d86e8a8054030f6e42a3b744f078c99ab0b5fa6fea6e3			C02
stage6_crudsql_0180	crudsql:test:0764:69d31c5e334311e9b9d1542696d6e445:35ec92e1961213d0	6bf1483c43945be491e7613637facdc91af9a5110183d65d54dd9a3a517ed5c8			C02
stage6_crudsql_0181	crudsql:test:0765:69d31c5e334311e9b9d1542696d6e445:9dd2b65ea7fd3977	b2e51c0cea5e4df3dc1769c379d9da204c082dde5992e663b4139cd1a3a670dd			C02
stage6_crudsql_0182	crudsql:test:0766:69d31c5e334311e9b9d1542696d6e445:f71bc7475cb9b56a	f88559d86ba3f4c81e2864a521518807e64cfb3c7efe296787fbfae8e23d905c			C02
stage6_crudsql_0183	crudsql:test:0767:69d31c5e334311e9b9d1542696d6e445:f5d0c3872a74e91c	e2d2758a2e11557f10b4ac7aa91b0fad424f002ca5c96bcdf3abd5d73cdf2074			C02
stage6_crudsql_0199	crudsql:test:0783:f67b7ea6453d11e98ea0f40f24344a08:e7235c142e86659b	71eeffb8862f16b35137a601fcf1a3f889bbf3b9478c1434679ca3c332cda513			C02
stage6_crudsql_0250	crudsql:test:0834:aa6fa0b33b0611e984f1f40f24344a08:44f99b93a25244ff	459eab67de990e539df0da8706335e8166dee2b1433dfab5a4e4974488a03a21			C02
stage6_crudsql_0268	crudsql:test:0852:4d2a4f823aaa11e984a4f40f24344a08:fbf3593fb4c9cdf9	6c644f0b96f4105d4dd6c040ba9192a604ec26a537417e47824889711271cf98			C02
stage6_crudsql_0269	crudsql:test:0853:4d2a4f823aaa11e984a4f40f24344a08:91c58599a036f5dd	7eceba0f60021c026db79acef9898f4d3e45573329f64b4505c6126c3e643fb5			C02
stage6_crudsql_0270	crudsql:test:0854:4d2a4f823aaa11e984a4f40f24344a08:6973a357452e0daa	5d9cca62c510acddaceec78feb5bc592e104b4dec2b0d19b3330e889fe00eee5			C02
stage6_crudsql_0271	crudsql:test:0855:4d2a4f823aaa11e984a4f40f24344a08:5d1f546292075c7a	6b6a408a3c6663c496cd439b3bc6f593dedcb1076a7fd3c50bfad76df928de8e			C02
stage6_crudsql_0317	crudsql:test:1269:69d56ffd334311e9a90e542696d6e445:58671b8d29af7bf2	2661693f28c5da3e90a343f765c54cbc9e2f7e9604b528410a9dcf042c614984			C02
