stage6_sample_id	upstream_sample_locator	authored_content_sha256	R01_notes_sha256	R02_notes_sha256	reviewed_by	classification	rationale	correction_spec
stage6_crudsql_0000	crudsql:test:0584:a7d29bf33b0611e9a963f40f24344a08:df804272cb4d1949	c2b7e042f7bd0d4c41792c3a680592edf11195a41aca988f05565a6a9eee0efe	d1f64393273894273b4ab4371efd3f686076f00319901e9cee6f3039bbeacb9c	76ca56bc5b60f74cbd18968dcba5f202595d7640c4b80c79dcdf3cff698914f1	R04			
stage6_crudsql_0014	crudsql:test:0598:a84b9b1c3b0611e983c1f40f24344a08:d755a2ebde0671e9	0b1259819d321431a54af7095a5cc23bbf1ec55377cb2dcc016a88f21ec73521	1e7a6cb4036e206323b47c0054fad17fac5e6a4d10280cf17943d9c63aac3ca9	d55ffaafdb4927530340e78b469c4f6c735934890f7d0b9995930e40614018eb	R04			
stage6_crudsql_0070	crudsql:test:0654:f3263a70453d11e98d96f40f24344a08:6560f1f9f81116d4	78b8f2da63c4e55d6633adfc647f7df39cea5f6430178ffbd41b1a421c794c0f	d82a6d0ae5314c2fc37e29499a047f012dd0588ccb9302d3b360e61dd2db8d63	cf005d4abad4bbafafcffe74e3bdf11a47b942c8c723398706ae0ea0e9315526	R04			
stage6_crudsql_0085	crudsql:test:0669:4d258f803aaa11e9af1cf40f24344a08:7865853b25424fc1	568c100dcd2062af5b39020958ed0a9ac34d4f5faef50a5fe85b765febd69810	82e88c91004d23942c79edf4b93bde617db9b60ac25fe8181799fc32952a41c8	f5ad4e912aa27228a0569eb971ec2c6a868003f6c58b1b07e444fea4c813a431	R04			
stage6_crudsql_0109	crudsql:test:0693:a846c2d73b0611e99c8df40f24344a08:0bf2b030d598b16c	71910eb542358ebc1795be13c38291bd7ff0e9575c13777d6df92fd52e305490	1ece82644af1d3aa6bd6b84fd5b4e83a945a662107a9ed5661c0190cc9412bb9	d44fa8b0815f3fc00a8e815d98066bd32df104db3343082b8c75fc782130f685	R04			
stage6_crudsql_0158	crudsql:test:0742:4d2664ee3aaa11e9bb29f40f24344a08:5832290bcc1dc069	f71971c3b91d5f67d4f64d367d1b689ce11b5c4795f06f2157e6d46f95a75547	02dac37f72d45dc1e75367adbf5bd2d6cb45bf340982bee070fc61c9a6a92cd1	d979065d099c219c04d20735d8de242ac6e8c6576a8109ff9c3f452c35a7822e	R04			
stage6_crudsql_0180	crudsql:test:0764:69d31c5e334311e9b9d1542696d6e445:35ec92e1961213d0	308d5289dd4389939f76132a9d78e1b4b3437bdc7fb96391d1759e3e63854eff	ae71642a9c3e876c909d2d78f557443ed21af0f20bff61626841b4c520867b05	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9	R04			
stage6_crudsql_0181	crudsql:test:0765:69d31c5e334311e9b9d1542696d6e445:9dd2b65ea7fd3977	e7a36d3f7d135349808b15dcbbb55793efd4d2b875ac084aef602bce558430d8	e3ee50d3a79f5af9b8fa29545dd4dc16442616bbf6b11b4b683640dade5b2b8d	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9	R04			
stage6_crudsql_0182	crudsql:test:0766:69d31c5e334311e9b9d1542696d6e445:f71bc7475cb9b56a	ae4e92bc5e1d4ebd7d029f961c1eb47c9f3a9ed16e29119987b1c5dda783595a	95a515aaae7e3e2b55dc7a312b7cf301029fa9e48d1027d763eacf2f87315c0c	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9	R04			
stage6_crudsql_0183	crudsql:test:0767:69d31c5e334311e9b9d1542696d6e445:f5d0c3872a74e91c	f78c8c8bc66bada32d17e72c41ee0a9163f7b3dc930e3b02d1ef4ad81285728d	0838324202568be7ccabf45adf32d2cec76f1b6b7677c0ece7b0bfc46ede2a1b	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9	R04			
stage6_crudsql_0199	crudsql:test:0783:f67b7ea6453d11e98ea0f40f24344a08:e7235c142e86659b	6a26e0879d966c8b62d3823f515e39a699cb5e3600184763b4f2f8465c503a29	1cf70dda33af6ca62ce7601617e6dbc1844385777f28f15c9b1af67ce375a144	be6f0ca4d873f440a48e23a62b1fb76e34588dadbe1b8312985539e96d60deee	R04			
stage6_crudsql_0240	crudsql:test:0824:6e614ce634ce11e991e5542696d6e445:4d8b18ffe692840f	d5bc6ca380c43cd2699779ac160439c6d7053f3db8c8d043c8e0fb4963e4f8cb	667a41f6e1da7d414a0555fa6e84ea19afe8637f0660d6c2aede245998f6555c	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec	R04			
stage6_crudsql_0241	crudsql:test:0825:6e614ce634ce11e991e5542696d6e445:ad0471aede4cc829	dfdc14de7e0b502d475fcece13ff8fb16b1b06c99ec9a7aa54fb9c6a1ed2611b	b7ab4f9348db2fcb0e2a7779abafcbfb014389225d69e640a3e1c113ef0d8b89	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec	R04			
stage6_crudsql_0242	crudsql:test:0826:6e614ce634ce11e991e5542696d6e445:e096b5141ad90987	1292556cb4724006e8eae17a05a1c138ebd50a7bac64ba14522866bf17e2373e	ffba6c33e660be4e40a4bf5a29ef54fce42fa7dd4b7713b1d833231b2ff1642c	ace06c64c6eeebc0e4352bb78ea9cc87ec6d61dade038cb849e432c0409fb6ec	R04			
