stage6_sample_id	upstream_sample_locator	authored_content_sha256	final_rejection_source	R01_notes_sha256	R02_notes_sha256	R03_notes_sha256	reviewed_by	classification	rationale	correction_spec
stage6_crudsql_0000	crudsql:test:0584:a7d29bf33b0611e9a963f40f24344a08:df804272cb4d1949	c2b7e042f7bd0d4c41792c3a680592edf11195a41aca988f05565a6a9eee0efe	R01_R02_AGREED_REJECTED	d1f64393273894273b4ab4371efd3f686076f00319901e9cee6f3039bbeacb9c	76ca56bc5b60f74cbd18968dcba5f202595d7640c4b80c79dcdf3cff698914f1		R04			
stage6_crudsql_0014	crudsql:test:0598:a84b9b1c3b0611e983c1f40f24344a08:d755a2ebde0671e9	0b1259819d321431a54af7095a5cc23bbf1ec55377cb2dcc016a88f21ec73521	R01_R02_AGREED_REJECTED	1e7a6cb4036e206323b47c0054fad17fac5e6a4d10280cf17943d9c63aac3ca9	d55ffaafdb4927530340e78b469c4f6c735934890f7d0b9995930e40614018eb		R04			
stage6_crudsql_0044	crudsql:test:0628:a99c46cf3b0611e9b51df40f24344a08:7bee9279f7e2b5ad	6bc1752d3a49667d1ba98ad080382498188a5a32b59a9e1657e1c9ad091b24a5	R03_REJECTED_DISAGREEMENT	1845667af2f9d4036176d439822ee5b654ac4d4bffbd889bf50ec390794cb0f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8d65303a1c9d34685a3e0e944c81edc1c23a2670fdb67f20042faa74c5095724	R04			
stage6_crudsql_0070	crudsql:test:0654:f3263a70453d11e98d96f40f24344a08:6560f1f9f81116d4	78b8f2da63c4e55d6633adfc647f7df39cea5f6430178ffbd41b1a421c794c0f	R01_R02_AGREED_REJECTED	d82a6d0ae5314c2fc37e29499a047f012dd0588ccb9302d3b360e61dd2db8d63	cf005d4abad4bbafafcffe74e3bdf11a47b942c8c723398706ae0ea0e9315526		R04			
stage6_crudsql_0076	crudsql:test:0660:f5316ef0453d11e9b6ccf40f24344a08:564cfa318f7cae2a	a7ae4e00921cedb7362ac5ca635c76878bdc3c76ffe80a7e1957da17aa6f86bb	R03_REJECTED_DISAGREEMENT	580b12f0730d7cd8bb0fde48e38ab839020df1db06482fd8dfc47af7ff7b7421	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	81effce8168789a15a19ebec72edf0859abacef99df8e5eec1ae55a28034f19a	R04			
stage6_crudsql_0077	crudsql:test:0661:f5316ef0453d11e9b6ccf40f24344a08:2c3fb5b9c8459962	06cb47e65e5a058067e97c93f9b654fade4e79c691ed68f0ddde41ac1980685e	R03_REJECTED_DISAGREEMENT	a9edeb2b77cb43b6243327932261326cc525ee49dae0fed518d5b4a8df02b523	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	ff24168097b864bc17c5e05ce9f1e7be6962ec5e57fad5877c6340160725af8e	R04			
stage6_crudsql_0078	crudsql:test:0662:f5316ef0453d11e9b6ccf40f24344a08:6a1434f0aeb3e2c1	a6be1cc4b30ab103acafb51302e07bff6117183b5cafe624789e2f33adce68a8	R03_REJECTED_DISAGREEMENT	5fac451e7c77e2af16947f97291e76cacb9de29093c232c82c247739845e9157	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9fc3e1e3658fbca691463f79215c6060747856b85c5970fa0445d12539a3a742	R04			
stage6_crudsql_0079	crudsql:test:0663:f5316ef0453d11e9b6ccf40f24344a08:fe2bd3222ffc162d	21065f4c8595ddf512a5509183bee7ed67068a3ad24c6240a2c8253be27dd6e1	R03_REJECTED_DISAGREEMENT	b085fe925c0617dec9a6076972eb1f4137a83f00f910690926da35b47468767d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	5efb919f9c6be13a4f736ffc7a459ca27f921879a8853ec1fe5d3aed0225cc33	R04			
stage6_crudsql_0084	crudsql:test:0668:4d258f803aaa11e9af1cf40f24344a08:ac82079292e2e510	d9f242bb2f060fc45cd5749568ec453470ca51e0cd971083d8c305659b8134d1	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0179e7cdfdfba916e7b60149dfb7751c63153ba7d6455b5477ef85654b032f68	13ee027e5faf13d0eccb9b5ff31ca418fad0ab6f15ecd8cef81ee55784f0decf	R04			
stage6_crudsql_0085	crudsql:test:0669:4d258f803aaa11e9af1cf40f24344a08:7865853b25424fc1	568c100dcd2062af5b39020958ed0a9ac34d4f5faef50a5fe85b765febd69810	R01_R02_AGREED_REJECTED	82e88c91004d23942c79edf4b93bde617db9b60ac25fe8181799fc32952a41c8	f5ad4e912aa27228a0569eb971ec2c6a868003f6c58b1b07e444fea4c813a431		R04			
stage6_crudsql_0086	crudsql:test:0670:4d258f803aaa11e9af1cf40f24344a08:59484faf0a607423	92c2a5122656d4f1619ebe90fcdda8d57dda7128247cf13e1f0aee81638b6daa	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1713ebad6b4b942e6a7761692d8f77892aaaf7f502f93cba393f9c2c24666eb7	9223cd1447b1e6b6bcfd67ae7d70a2ee0afe9243d27d7db948713f96be03bcf5	R04			
stage6_crudsql_0109	crudsql:test:0693:a846c2d73b0611e99c8df40f24344a08:0bf2b030d598b16c	71910eb542358ebc1795be13c38291bd7ff0e9575c13777d6df92fd52e305490	R01_R02_AGREED_REJECTED	1ece82644af1d3aa6bd6b84fd5b4e83a945a662107a9ed5661c0190cc9412bb9	d44fa8b0815f3fc00a8e815d98066bd32df104db3343082b8c75fc782130f685		R04			
stage6_crudsql_0158	crudsql:test:0742:4d2664ee3aaa11e9bb29f40f24344a08:5832290bcc1dc069	f71971c3b91d5f67d4f64d367d1b689ce11b5c4795f06f2157e6d46f95a75547	R01_R02_AGREED_REJECTED	02dac37f72d45dc1e75367adbf5bd2d6cb45bf340982bee070fc61c9a6a92cd1	d979065d099c219c04d20735d8de242ac6e8c6576a8109ff9c3f452c35a7822e		R04			
stage6_crudsql_0180	crudsql:test:0764:69d31c5e334311e9b9d1542696d6e445:35ec92e1961213d0	308d5289dd4389939f76132a9d78e1b4b3437bdc7fb96391d1759e3e63854eff	R01_R02_AGREED_REJECTED	ae71642a9c3e876c909d2d78f557443ed21af0f20bff61626841b4c520867b05	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9		R04			
stage6_crudsql_0181	crudsql:test:0765:69d31c5e334311e9b9d1542696d6e445:9dd2b65ea7fd3977	e7a36d3f7d135349808b15dcbbb55793efd4d2b875ac084aef602bce558430d8	R01_R02_AGREED_REJECTED	e3ee50d3a79f5af9b8fa29545dd4dc16442616bbf6b11b4b683640dade5b2b8d	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9		R04			
stage6_crudsql_0182	crudsql:test:0766:69d31c5e334311e9b9d1542696d6e445:f71bc7475cb9b56a	ae4e92bc5e1d4ebd7d029f961c1eb47c9f3a9ed16e29119987b1c5dda783595a	R01_R02_AGREED_REJECTED	95a515aaae7e3e2b55dc7a312b7cf301029fa9e48d1027d763eacf2f87315c0c	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9		R04			
stage6_crudsql_0183	crudsql:test:0767:69d31c5e334311e9b9d1542696d6e445:f5d0c3872a74e91c	f78c8c8bc66bada32d17e72c41ee0a9163f7b3dc930e3b02d1ef4ad81285728d	R01_R02_AGREED_REJECTED	0838324202568be7ccabf45adf32d2cec76f1b6b7677c0ece7b0bfc46ede2a1b	da1bfe6a10b2e2902f64ef1a603ee62111ee651406fced6ac5f2367c6db801e9		R04			
stage6_crudsql_0199	crudsql:test:0783:f67b7ea6453d11e98ea0f40f24344a08:e7235c142e86659b	6a26e0879d966c8b62d3823f515e39a699cb5e3600184763b4f2f8465c503a29	R01_R02_AGREED_REJECTED	1cf70dda33af6ca62ce7601617e6dbc1844385777f28f15c9b1af67ce375a144	be6f0ca4d873f440a48e23a62b1fb76e34588dadbe1b8312985539e96d60deee		R04			
stage6_crudsql_0200	crudsql:test:0784:4d2420113aaa11e9b9c1f40f24344a08:0d7447c9f961b309	ec08b1af75c5578b5483be01a25cffe8084a0abd0e38a8083fdd74176a69f0b0	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a81d675dae67e95d42d53500033ca0a5c72a7bc62bd55b8a55c832ddecc84438	a2717f9aaf2e320c6b4c93cc09041c5dfbe22c32f4df7d54903321a72f1ac738	R04			
stage6_crudsql_0201	crudsql:test:0785:4d2420113aaa11e9b9c1f40f24344a08:5cd2fe295529bfc1	b1a5ec5fd01365826e696dd31f75121956363b04bf4e154d3efb2c13da12d403	R03_REJECTED_DISAGREEMENT	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a81d675dae67e95d42d53500033ca0a5c72a7bc62bd55b8a55c832ddecc84438	a2717f9aaf2e320c6b4c93cc09041c5dfbe22c32f4df7d54903321a72f1ac738	R04			
